skip_fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	candidate_parent_id	candidate_parent_name	candidate_exists	overlap_years	bridge_fact_id	review_priority	notes
fact-q701614-parent-q12548	title-q701614	Prince-Archbishopric of Salzburg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1278..1803	title-q42585	Kingdom of Bohemia	1198..1918	526	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q173863-parent-q12548	title-q173863	Prince-Bishopric of Augsburg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	962..1803	title-q838931	Kingdom of Italy	961..1806	842	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q319586-parent-q12548	title-q319586	Prince-Bishopric of Basel	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1032..1803	title-q838931	Kingdom of Italy	961..1806	772	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q259511-parent-q12548	title-q259511	Prince-Bishopric of Freising	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1294..1802	title-q42585	Kingdom of Bohemia	1198..1918	509	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q158835-parent-q12548	title-q158835	Prince-Bishopric of Liege	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	985..1795	title-q838931	Kingdom of Italy	961..1806	811	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q650645-parent-q12548	title-q650645	Prince-Bishopric of Minden	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1180..1648	title-q838931	Kingdom of Italy	961..1806	469	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q3324486-parent-q12560	title-q3324486	Prince-Bishopric of Montenegro	Duchy	Kingdom	title-q12560	Ottoman Empire	Empire	1516..1696	title-q625380	Eastern Hungarian Kingdom	1526..1570	45	fact-q625380-parent-q12560	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q697254-parent-q12548	title-q697254	Prince-Bishopric of Munster	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1180..1802	title-q838931	Kingdom of Italy	961..1806	623	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q477035-parent-q12548	title-q477035	Prince-Bishopric of Osnabruck	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1225..1803	title-q42585	Kingdom of Bohemia	1198..1918	579	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q649192-parent-q12548	title-q649192	Prince-Bishopric of Paderborn	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1281..1802	title-q42585	Kingdom of Bohemia	1198..1918	522	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q771332-parent-q12548	title-q771332	Prince-Bishopric of Strasbourg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	982..1803	title-q838931	Kingdom of Italy	961..1806	822	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q328001-parent-q12548	title-q328001	Prince-Bishopric of Toul	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1048..1648	title-q838931	Kingdom of Italy	961..1806	601	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q1231403-parent-q12548	title-q1231403	Prince-Bishopric of Trent	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1027..1803	title-q838931	Kingdom of Italy	961..1806	777	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q707767-parent-q12548	title-q707767	Prince-Bishopric of Utrecht	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1024..1528	title-q838931	Kingdom of Italy	961..1806	505	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q17015016-parent-q12548	title-q17015016	Prince-Bishopric of Verdun	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	997..1552	title-q838931	Kingdom of Italy	961..1806	556	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q14551680-parent-q12548	title-q14551680	Principality of Lippe	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1789..1806	title-q42585	Kingdom of Bohemia	1198..1918	18	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q14551680-parent-q151624	title-q14551680	Principality of Lippe	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	title-q154195	Kingdom of Bavaria	1806..1918	52	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q158151-parent-q12548	title-q158151	Saxe-Altenburg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1602..1806	title-q42585	Kingdom of Bohemia	1198..1918	205	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q158151-parent-q151624	title-q158151	Saxe-Altenburg	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	title-q154195	Kingdom of Bavaria	1806..1918	52	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q3462133-parent-q151624	title-q3462133	Saxe-Coburg and Gotha	Duchy	Kingdom	title-q151624	German Confederation	Empire	1826..1866	title-q154195	Kingdom of Bavaria	1806..1918	41	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q700663-parent-q12548	title-q700663	Saxe-Coburg-Saalfeld	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1699..1806	title-q42585	Kingdom of Bohemia	1198..1918	108	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q700663-parent-q151624	title-q700663	Saxe-Coburg-Saalfeld	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1825	title-q154195	Kingdom of Bavaria	1806..1918	11	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q675085-parent-q12548	title-q675085	Saxe-Gotha-Altenburg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1680..1806	title-q42585	Kingdom of Bohemia	1198..1918	127	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q675085-parent-q151624	title-q675085	Saxe-Gotha-Altenburg	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1826	title-q154195	Kingdom of Bavaria	1806..1918	12	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q281005-parent-q12548	title-q281005	Saxe-Hildburghausen	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1680..1806	title-q42585	Kingdom of Bohemia	1198..1918	127	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
