skip_fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	candidate_parent_id	candidate_parent_name	candidate_exists	overlap_years	bridge_fact_id	review_priority	notes
fact-q698089-parent-q154741	title-q698089	Grand Duchy of Wurzburg	Duchy	Kingdom	title-q154741	Confederation of the Rhine	Crown	1806..1813	title-q153943	Kingdom of Westphalia	1807..1813	7	fact-q153943-parent-q154741	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q673865-parent-q12548	title-q673865	Hohenzollern-Hechingen	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1576..1806	title-q42585	Kingdom of Bohemia	1198..1918	231	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q673865-parent-q151624	title-q673865	Hohenzollern-Hechingen	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1850	title-q154195	Kingdom of Bavaria	1806..1918	36	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q157013-parent-q12548	title-q157013	Hohenzollern-Sigmaringen	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1576..1806	title-q42585	Kingdom of Bohemia	1198..1918	231	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q157013-parent-q151624	title-q157013	Hohenzollern-Sigmaringen	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1850	title-q154195	Kingdom of Bavaria	1806..1918	36	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q699923-parent-q71084	title-q699923	Illyrian Provinces	Province	Kingdom	title-q71084	First French Empire	Empire	1809..1815	title-q223936	Kingdom of Italy	1805..1814	6	fact-q223936-parent-q71084	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q223793-parent-q71084	title-q223793	Kingdom of Etruria	Kingdom	Crown	title-q71084	First French Empire	Empire	1804..1807	title-q154741	Confederation of the Rhine	1806..1813	2	fact-q154741-parent-q71084	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q212278-parent-q71084	title-q212278	Kingdom of Holland	Kingdom	Crown	title-q71084	First French Empire	Empire	1806..1810	title-q154741	Confederation of the Rhine	1806..1813	5	fact-q154741-parent-q71084	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q223936-parent-q71084	title-q223936	Kingdom of Italy	Kingdom	Crown	title-q71084	First French Empire	Empire	1805..1814	title-q154741	Confederation of the Rhine	1806..1813	8	fact-q154741-parent-q71084	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q751868-parent-q12548	title-q751868	Landgraviate of Brabant	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1085..1183	title-q838931	Kingdom of Italy	961..1806	99	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q695322-parent-q12548	title-q695322	Landgraviate of Hesse	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1264..1567	title-q42585	Kingdom of Bohemia	1198..1918	304	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q693551-parent-q12548	title-q693551	Landgraviate of Hesse-Darmstadt	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1567..1806	title-q42585	Kingdom of Bohemia	1198..1918	240	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q168651-parent-q12548	title-q168651	Landgraviate of Hesse-Kassel	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1567..1803	title-q42585	Kingdom of Bohemia	1198..1918	237	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q673837-parent-q12548	title-q673837	Landgraviate of Hesse-Marburg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1458..1604	title-q42585	Kingdom of Bohemia	1198..1918	147	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q58942549-parent-q12548	title-q58942549	Landgraviate of Lower Alsace	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1200..1700	title-q42585	Kingdom of Bohemia	1198..1918	501	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q660393-parent-q12548	title-q660393	Lower Lotharingia	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	962..1190	title-q838931	Kingdom of Italy	961..1806	229	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q283627-parent-q12548	title-q283627	Margraviate of Austria	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	976..1156	title-q838931	Kingdom of Italy	961..1806	181	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q148499-parent-q12548	title-q148499	Margraviate of Brandenburg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1157..1806	title-q838931	Kingdom of Italy	961..1806	650	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
