skip_fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	candidate_parent_id	candidate_parent_name	candidate_exists	overlap_years	bridge_fact_id	review_priority	notes
fact-q686965-parent-q12548	title-q686965	Anhalt-Bernburg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1252..1806	title-q42585	Kingdom of Bohemia	1198..1918	555	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q686965-parent-q151624	title-q686965	Anhalt-Bernburg	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1863	title-q154195	Kingdom of Bavaria	1806..1918	49	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q278874-parent-q12548	title-q278874	Anhalt-Dessau	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1396..1806	title-q42585	Kingdom of Bohemia	1198..1918	411	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q278874-parent-q151624	title-q278874	Anhalt-Dessau	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1853	title-q154195	Kingdom of Bavaria	1806..1918	39	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q264970-parent-q12548	title-q264970	Anhalt-Kothen	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1396..1806	title-q42585	Kingdom of Bohemia	1198..1918	411	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q264970-parent-q151624	title-q264970	Anhalt-Kothen	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1863	title-q154195	Kingdom of Bavaria	1806..1918	49	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q699964-parent-q12548	title-q699964	Archduchy of Austria	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1358..1803	title-q42585	Kingdom of Bohemia	1198..1918	446	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q699964-parent-q131964	title-q699964	Archduchy of Austria	Duchy	Kingdom	title-q131964	Austrian Empire	Empire	1804..1866	title-q42585	Kingdom of Bohemia	1198..1918	63	fact-q42585-parent-q131964	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q699964-parent-q28513	title-q699964	Archduchy of Austria	Duchy	Kingdom	title-q28513	Austria-Hungary	Empire	1867..1918	title-q42585	Kingdom of Bohemia	1198..1918	52	fact-q42585-parent-q28513	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q552033-parent-q12548	title-q552033	Bavaria-Munich	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1392..1505	title-q42585	Kingdom of Bohemia	1198..1918	114	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
