skip_fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	candidate_parent_id	candidate_parent_name	candidate_exists	overlap_years	bridge_fact_id	review_priority	notes
fact-q7904317-parent-q12548	title-q7904317	Electorate of Cologne	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	962..1803	title-q838931	Kingdom of Italy	961..1806	842	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q706018-parent-q12548	title-q706018	Electorate of Hanover	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1692..1806	title-q42585	Kingdom of Bohemia	1198..1918	115	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q529605-parent-q151624	title-q529605	Electorate of Hesse	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	title-q154195	Kingdom of Bavaria	1806..1918	52	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q284667-parent-q12548	title-q284667	Electorate of Mainz	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	962..1803	title-q838931	Kingdom of Italy	961..1806	842	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q156199-parent-q12548	title-q156199	Electorate of Saxony	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1356..1806	title-q42585	Kingdom of Bohemia	1198..1918	451	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q2172530-parent-q12548	title-q2172530	Electorate of Wurttemberg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1803..1806	title-q42585	Kingdom of Bohemia	1198..1918	4	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q692946-parent-q131964	title-q692946	Gorizia and Gradisca	County	Duchy	title-q131964	Austrian Empire	Empire	1804..1866	title-q699964	Archduchy of Austria	1358..1918	63	fact-q699964-parent-q131964	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q692946-parent-q28513	title-q692946	Gorizia and Gradisca	County	Duchy	title-q28513	Austria-Hungary	Empire	1867..1918	title-q699964	Archduchy of Austria	1358..1918	52	fact-q699964-parent-q28513	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q186320-parent-q151624	title-q186320	Grand Duchy of Baden	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	title-q154195	Kingdom of Bavaria	1806..1918	52	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q186320-parent-q43287	title-q186320	Grand Duchy of Baden	Duchy	Kingdom	title-q43287	German Empire	Empire	1871..1918	title-q154195	Kingdom of Bavaria	1806..1918	48	fact-q154195-parent-q43287	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
