skip_fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	candidate_parent_id	candidate_parent_name	candidate_exists	overlap_years	bridge_fact_id	review_priority	notes
fact-q1232887-parent-q12548	title-q1232887	County of Savoy	County	Duchy	title-q12548	Holy Roman Empire	Empire	1003..1416	title-q47261	Duchy of Bavaria	907..1805	414	fact-q47261-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q2991474-parent-q12548	title-q2991474	County of Wurttemberg	County	Duchy	title-q12548	Holy Roman Empire	Empire	1083..1495	title-q47261	Duchy of Bavaria	907..1805	413	fact-q47261-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q16550783-parent-q150981	title-q16550783	Duchy of Anhalt	Duchy	Kingdom	title-q150981	North German Confederation	Empire	1867..1870	title-q27306	Kingdom of Prussia	1701..1918	4	fact-q27306-parent-q150981	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q16550783-parent-q151624	title-q16550783	Duchy of Anhalt	Duchy	Kingdom	title-q151624	German Confederation	Empire	1863..1866	title-q154195	Kingdom of Bavaria	1806..1918	4	fact-q154195-parent-q151624	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q16550783-parent-q43287	title-q16550783	Duchy of Anhalt	Duchy	Kingdom	title-q43287	German Empire	Empire	1871..1918	title-q154195	Kingdom of Bavaria	1806..1918	48	fact-q154195-parent-q43287	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q3624335-parent-q12548	title-q3624335	Duchy of Austria	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1156..1453	title-q838931	Kingdom of Italy	961..1806	298	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q47261-parent-q12548	title-q47261	Duchy of Bavaria	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	962..1805	title-q838931	Kingdom of Italy	961..1806	844	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q151095-parent-q12548	title-q151095	Duchy of Berg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1380..1806	title-q42585	Kingdom of Bohemia	1198..1918	427	fact-q42585-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q2162698-parent-q12548	title-q2162698	Duchy of Bohemia	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1002..1198	title-q838931	Kingdom of Italy	961..1806	197	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q159856-parent-q12548	title-q159856	Duchy of Brabant	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1183..1795	title-q838931	Kingdom of Italy	961..1806	613	fact-q838931-parent-q12548	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
