ck_id	county	decision	recommended_source_id	recommended_source_url	recommended_title_id	recommended_title_label	recommended_rank	recommended_exists	recommended_parent_id	recommended_parent_label	recommended_parent_span	confidence	next_action	notes
c_dessau	Dessau	source_resolution_blocked										medium	find_bounded_title_source	Top lead is the modern city. Nearby accepted Anhalt-Dessau material is a duchy-level title, not evidence for a county-scale Dessau title or parentage.
c_devon	Devon	source_resolution_blocked	src-britannica-devon	https://www.britannica.com/summary/Devon	title-q67393660	Devon	County					medium	find_bounded_title_and_parent_source	Britannica supports Devon as an administrative, geographic, and historic county, but this pass did not establish safe bounded title_exists or parentage.
c_dijon	Dijon	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a modern commune/city. Burgundy title material is not direct evidence for a Dijon county title.
c_ditmarschen	Dithmarschen	rank_policy_blocked	src-wikipedia-dithmarschen	https://en.wikipedia.org/wiki/Dithmarschen	title-q2947	Dithmarschen	unmaterialized	13th c..1559				medium	define_peasant_republic_or_region_rank	Better lead is Dithmarschen as an independent peasant republic within the Holy Roman Empire, not a current materialized DUCHY rank.
c_dobrzynska	Dobrzyń	reject_bad_lead										high	find_better_historical_title_source	Top lead is a family-name item. Possible Dobrzyn Land or castellany evidence needs a separate sourced lead.
c_dokkum	Dokkum	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a city. No independent historical title packet or parentage source found in this pass.
c_dole	Dole	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a commune/city. County of Burgundy material is not direct evidence for a Dole county title.
c_donjikraji	Donji Kraji	rank_policy_blocked	src-wikidata-q5296194	https://www.wikidata.org/wiki/Q5296194	title-q5296194	Donji Kraji	unmaterialized	1230..1463				high	define_region_zemlja_rank	Existing source-only record identifies a medieval Bosnian zemlja/historical region. Blocked until region or zemlja rank semantics are modeled.
c_dorohoi	Dorohoi	ready_title_packet	src-wikipedia-dorohoi-county	https://en.wikipedia.org/wiki/Dorohoi_County	title-q5298169	Dorohoi County	County	1859..1950				medium	parentage_source_followup	Better lead is Dorohoi County, a county of the Kingdom of Romania. Title packet is plausible; parent spans need separate custody before parentage.
c_dorohychyn	Dorohychyn	source_resolution_blocked	src-galicia-volhynia-dorohychyn	https://lvov.us/history/galicia-volhynia-history-chronicles		Dorohychyn						low	find_bounded_title_source	Source lead supports Dorohychyn as a coronation/site context for Galicia-Volhynia, not a bounded county title.
c_dorset	Dorset	source_resolution_blocked	src-britannica-dorset	https://www.britannica.com/summary/Dorset-county-England	title-q67479793	Dorset	County					medium	find_bounded_title_and_parent_source	Britannica supports Dorset as an administrative, geographic, and historic county, but no bounded title_exists or parentage packet is ready.
c_dortmund	Dortmund	ready_title_packet	src-hanse-dortmund	https://www.hanse.org/en/hanse/dortmund	title-q2055974	Free imperial city of Dortmund	FreeCity	1220..1806				medium	parentage_source_followup	Independent city-history lead supports Dortmund as a medieval free imperial city; parentage to the Holy Roman Empire needs direct relation custody before import.
c_doudleby	Doudleby	source_resolution_blocked										low	find_bounded_title_source	Top lead has insufficient title description. No independent bounded historical title source found in this pass.
c_dresden	Dresden	source_resolution_blocked										medium	find_bounded_title_source	Top lead is the modern city/capital. No safe county-like historical title packet found.
c_dublin	Dublin	source_resolution_blocked										medium	find_bounded_title_source	Top lead is the modern city. Possible Kingdom of Dublin material requires separate title/rank sourcing.
c_dubrovytsia	Dubrovytsia	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a modern city. No bounded medieval title evidence found in this pass.
