ck_id	county	decision	recommended_source_id	recommended_source_url	recommended_title_id	recommended_title_label	recommended_rank	recommended_exists	recommended_parent_id	recommended_parent_label	recommended_parent_span	confidence	next_action	notes
c_arad	Arad	source_resolution_blocked	src-wikidata-q253609	https://www.wikidata.org/wiki/Q253609	title-q253609	Arad County	County	11th century..1920				medium	resolve_bounded_dates_before_packet	Better historical county lead found for Arad County of the Kingdom of Hungary, but dates are not precise enough for a title packet from this pass.
c_arbanon	Arbanon	rank_policy_blocked	src-historyfiles-arbanon	https://www.historyfiles.co.uk/KingListsEurope/EasternAlbaniaArbanon.htm	title-q2454379	Principality of Arbanon	unmaterialized	1190..1256/57				high	define_principality_rank	Independent source supports Arbanon as a medieval principality formed in 1190; principality is not a materialized DUCHY rank yet.
c_arborea	Arborea	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a modern comune. Possible Judicate of Arborea material needs separate title/rank/date sourcing.
c_arezzo	Arezzo	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a modern comune; no independently sourced bounded county/title packet ready.
c_argyll	Argyll	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a historic shire/region; no safe bounded title_exists or parentage packet established.
c_armagnac	Armagnac	source_resolution_blocked	src-britannica-armagnac	https://www.britannica.com/place/Armagnac-historical-region-France			unmaterialized					medium	find_county_of_armagnac_source	Britannica supports Armagnac as a historic region; county title material needs a better bounded source.
c_arnhem	Arnheim	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a modern city/municipality; no historical title packet ready.
c_arnsberg	Arnsberg	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a modern town; county/comital material would need separate sourcing.
c_astorga	Astorga	reject_bad_lead										high	find_better_historical_title_source	Top lead is a family-name item, not importable title material.
c_asturias_de_oviedo	Asturias de Oviedo	source_resolution_blocked										medium	define_region_rank_or_defer	Top lead is a historical comarca/region, not a materialized title rank under current policy.
c_asturias_de_santillana	Asturias de Santillana	source_resolution_blocked										medium	define_region_rank_or_defer	Top lead lacks usable structured description and appears regional; no bounded title source ready.
