ck_id	county	decision	recommended_source_id	recommended_source_url	recommended_title_id	recommended_title_label	recommended_rank	recommended_exists	recommended_parent_id	recommended_parent_label	recommended_parent_span	confidence	next_action	notes
c_aachen	Aachen	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a modern city; no independently sourced bounded county/title packet found in this pass.
c_aalborg	Aalborg	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a modern city; no independently sourced bounded county/title packet found in this pass.
c_aargau	Aargau	source_resolution_blocked										medium	find_bounded_title_source	Top lead is the modern Canton of Aargau; possible medieval Aargau/landgraviate material needs separate bounded source custody.
c_aarhus	Aarhus	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a modern city; no independently sourced bounded county/title packet found in this pass.
c_abauj	Abauj	already_accepted	src-wikidata-q1049854	https://www.wikidata.org/wiki/Q1049854	title-q1049854	Abaúj county	County	1201..1881	title-q171150	Kingdom of Hungary	1201..1881	high	metrics_seed	Accepted parentage row from fixtures and pilot; do not re-import.
c_abkhazia	Abkhazia	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a modern state with limited recognition; no bounded medieval title packet ready.
c_ablastha	Ablastha	source_resolution_blocked										low	resolve_historical_identity	No useful local lead; CK3 seed needs historical identity resolution before any title or parentage work.
c_abruzzi	Abruzzi	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a modern Italian region; possible Abruzzo/Abruzzi provincial or kingdom-era material needs separate sourcing.
c_abydos	Abydos	reject_bad_lead										high	find_better_historical_title_source	Top lead is an encyclopedia article item, not an importable title entity.
c_acampse	Acampse	source_resolution_blocked										low	resolve_historical_identity	No useful local lead; CK3 seed needs historical identity resolution before any title or parentage work.
c_achaia	Achaia	rank_policy_blocked	src-byzantinelegacy-achaia	https://www.thebyzantinelegacy.com/achaia	title-q204772	Principality of Achaea	unmaterialized	1205..1430				medium	define_principality_rank_or_defer	Independent source supports the Principality of Achaea as a Frankish polity, but principality rank is not materialized for this county workflow.
c_adrianopolis	Adrianopolis	source_resolution_blocked										medium	define_city_rank_or_find_title	Top lead is modern Edirne; ancient/Byzantine city material is not a county-like title packet.
c_aeolis	Aeolis	reject_bad_lead										high	find_better_historical_title_source	Top lead is a mollusc genus, not the historical Aeolis region.
c_aetolia	Aetolia	reject_bad_lead										high	find_better_historical_title_source	Top lead is a video game, not the historical Aetolia region.
c_agenais	Agen	source_resolution_blocked	src-wikisource-britannica-agenais	https://en.wikisource.org/wiki/1911_Encyclop%C3%A6dia_Britannica/Agenais	title-q2825683	Agenais	County					medium	find_bounded_title_and_parent_source	Better lead found: Britannica 1911 treats Agenais as a former province and hereditary countship, but this pass did not establish safe bounded title_exists or parentage.
c_ailech	Ailech	rank_policy_blocked	src-wikidata-q15104874	https://www.wikidata.org/wiki/Q15104874	title-q15104874	Ailech	unmaterialized	600..780				high	define_historical_country_rank_or_defer	Local source-resolution record treats Ailech as a historical-country entity; not a materialized county rank under current policy.
c_ajaccio	Ajaccio	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a modern commune; no independently sourced bounded title packet found.
c_akkel	Akkel	reject_bad_lead										high	find_better_historical_title_source	Top lead resolves to Akkyol lake in Russia, a wrong-place/wrong-type lead for this CK3 seed.
c_aland	Aland	source_resolution_blocked										medium	find_bounded_title_source	Top lead is the modern autonomous Åland region; no bounded medieval title packet ready.
c_alarcon	Alarcon	reject_bad_lead										high	find_better_historical_title_source	Top lead is a family-name item, not importable title material.
c_almader	Alarcos	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a settlement/battle-site lead; no bounded title packet ready.
c_albarracin	Albarracin	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a municipality; possible taifa/lordship material needs separate source custody.
