ck_id	county	decision	recommended_source_id	recommended_source_url	recommended_title_id	recommended_title_label	recommended_rank	recommended_exists	recommended_parent_id	recommended_parent_label	recommended_parent_span	confidence	next_action	notes
c_chandax	Chandax	rank_policy_blocked	src-wikipedia-siege-chandax	https://en.wikipedia.org/wiki/Siege_of_Chandax		Chandax	unmaterialized	820s..961				medium	define_city_or_emirate_capital_rank_or_defer	Better lead supports Chandax as capital/fortified city of the Emirate of Crete until Byzantine recovery in 960-961; city/capital semantics are not a materialized county title rank.
c_chania	Chania	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a modern city in Crete. No independent bounded medieval title or parentage packet was established in this pass.
c_charsianon	Charsianon	rank_policy_blocked	src-wikipedia-theme-charsianon	https://en.wikipedia.org/wiki/Charsianon		Theme of Charsianon	unmaterialized	863/873..1072/3				medium	define_theme_rank_or_defer	Better lead is a Byzantine theme, a military-civilian province. Current rank policy has no materialized Theme rank.
c_cherso	Charso	reject_bad_lead										high	find_better_historical_title_source	Top lead resolves to a French commune, a wrong-place lead for the Adriatic Cherso/Cres seed.
c_chartres	Chartres	source_resolution_blocked	src-fmg-chartres	https://fmg.ac/Projects/MedLands/cfrachacha.htm		County of Chartres	County					medium	find_bounded_title_and_parent_source	Better lead is the medieval County of Chartres, but this pass did not establish safe bounded title_exists or parentage custody.
c_torun	Chełmno	source_resolution_blocked										medium	find_bounded_title_source	Top lead is the modern town. Possible Chelmno Land or Teutonic/Prussian administrative material needs separate historical title sourcing.
c_chernigov	Chernigov	rank_policy_blocked	src-encyclopedia-ukraine-chernihiv-principality	https://www.encyclopediaofukraine.com/display.asp?linkpath=pages%5CC%5CH%5CChernihivprincipality.htm	title-chernihiv-principality	Chernihiv principality	unmaterialized	1024..14th c.				medium	define_principality_rank_or_defer	Independent source resolves the seed to a medieval principality ruled by Riurykides; principality rank semantics are not materialized for county promotion.
c_cherven	Cherven	rank_policy_blocked	src-encyclopedia-ukraine-cherven-towns	https://www.encyclopediaofukraine.com/display.asp?linkpath=pages%5CC%5CH%5CCherventowns.htm		Cherven towns	unmaterialized	11th c..14th c.				medium	define_region_or_towns_rank_or_defer	Better lead is a frontier group of towns/region tied to Volhynia and Galicia-Volhynia, not a current materialized title rank.
c_cheshire	Cheshire	source_resolution_blocked	src-vch-cheshire-domesday	https://www.domesdaybook.net/bibliography/alphabetical-list-of-works/secondary-sources	title-q67287495	Cheshire	County					medium	find_bounded_title_and_parent_source	VCH/Domesday bibliography supports Cheshire county-history source coverage, but no safe bounded title_exists or parentage packet is ready.
c_chilia	Chilia	reject_bad_lead										high	find_better_historical_title_source	Top lead is a bird genus, not importable title material. The Danube/Kiliya seed needs a fresh historical-place source lead.
c_chios	Chios	source_resolution_blocked										medium	find_bounded_title_source	Top lead is an island. Possible Lordship or Maona of Chios material was previously rejected/deferred and still needs a separate modeled title-rank source.
c_choklema	Choklema	source_resolution_blocked										low	find_better_historical_title_source	No independent historical title candidate was resolved for the CK3 Choklema seed in this pass.
c_chonae	Chonae	rank_policy_blocked	src-wikidata-q1076036	https://www.wikidata.org/wiki/Q1076036	title-q1076036	Chonae	unmaterialized					medium	define_city_or_site_rank_or_defer	Top lead is a Byzantine city/site near Colossae, not a materialized county-like title rank.
