ck_id	county	decision	recommended_source_id	recommended_source_url	recommended_title_id	recommended_title_label	recommended_rank	recommended_exists	recommended_parent_id	recommended_parent_label	recommended_parent_span	confidence	next_action	notes
c_beloozero	Beloozero	source_resolution_blocked	src-wikidata-q1967380	https://www.wikidata.org/wiki/Q1967380	title-q1967380	Principality of Beloozero	unmaterialized					medium	define_principality_rank_or_find_county_source	Better lead is the Principality of Beloozero, but principality rank is not materialized for county review and no parentage packet is ready.
c_belz	Belz	reject_bad_lead										high	find_better_historical_title_source	Top lead resolves to Belz in Morbihan, France, a wrong-place match for the CK3 Cherven/Galicia-Volhynia seed.
c_benavente	Benavente	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a Portuguese municipality; possible Leonese Benavente title or lordship material needs a separate bounded historical source.
c_benevento	Benevento	ready_title_packet	src-historyfiles-benevento	https://www.historyfiles.co.uk/KingListsEurope/ItalyBenevento.htm	title-candidate-duchy-of-benevento	Duchy of Benevento	Duchy	571..774				medium	parentage_source_followup	Independent lead supports Benevento as a Lombard duchy founded in 570-571; parentage to Lombard/Frankish or later principality context needs separate custody.
c_beograd	Beograd	source_resolution_blocked										medium	find_bounded_title_source	Top lead is the modern city of Belgrade; no independently sourced bounded county-like title or parentage packet is ready.
c_berchtesgaden	Berchtesgaden	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a market municipality; possible prince-provostry or ecclesiastical-state material requires separate rank and date sourcing.
c_bereg	Bereg	reject_bad_lead										high	find_better_historical_title_source	Top lead is a fictional-character item, not importable title material.
c_berestye	Berestye	source_resolution_blocked										low	resolve_historical_identity	Top lead is an archaeological museum; Brest/Berestye historical-place identity needs a better independent title source before promotion.
c_bergh	Berg	reject_bad_lead										high	find_better_historical_title_source	Top lead is a family-name item; possible County or Duchy of Berg material requires a different sourced lead.
c_berkshire	Berkshire	source_resolution_blocked	src-wikidata-q67284726	https://www.wikidata.org/wiki/Q67284726	title-q67284726	Berkshire	County					medium	find_bounded_title_and_parent_source	Wikidata resolves a historic-county entity, but this pass did not establish safe bounded title_exists or parentage.
c_berlin	Berlin	source_resolution_blocked										medium	find_bounded_title_source	Top lead is the modern city/state; no bounded medieval title packet is ready from the CK3 Nordmark seed.
c_bern	Bern	source_resolution_blocked										medium	find_bounded_title_source	Top lead is the modern Swiss city; Bernese city-state or canton material needs separate rank/date sourcing.
c_beroe	Beroë	reject_bad_lead										high	find_better_historical_title_source	Top lead is a genus item, a bad lead for the Thracian/Byzantine Beroe place seed.
c_berry	Berry	source_resolution_blocked	src-wikipedia-berry-france	https://en.wikipedia.org/wiki/Berry,_France	title-candidate-duchy-of-berry	Duchy of Berry	Duchy	1360..1790				medium	find_reviewed_duchy_source	Wikipedia/source lead supports Duchy of Berry, but a reviewed non-CK3 title source should confirm dates before packet promotion.
c_besancon	Besancon	source_resolution_blocked										medium	find_bounded_title_source	Top lead is a modern commune; archbishopric/free-city/county material needs separate historical title sourcing.
c_beszterce	Beszterce	source_resolution_blocked	src-wikidata-q794129	https://www.wikidata.org/wiki/Q794129	title-q794129	Beszterce-Naszód County	County					medium	resolve_beszterce_identity_and_dates	Better lead is a later Hungarian county candidate, but identity with the CK3 Transylvanian seed and bounded dates are not packet-ready.
c_bethen	Bethen	reject_bad_lead										high	find_better_historical_title_source	Top lead is a family-name item and no reliable historical title lead was resolved in this pass.
c_bezichi	Bezichi	source_resolution_blocked										low	resolve_ck3_seed	No useful local or Wikidata lead; CK3 seed needs historical identity resolution before title or parentage work.
c_beziers	Béziers	source_resolution_blocked										medium	find_bounded_title_source	Top lead is the modern city; possible viscounty or county material needs separate bounded source custody.
c_bigorre	Bigorre	source_resolution_blocked	src-wikidata-q859779	https://www.wikidata.org/wiki/Q859779	title-q859779	County of Bigorre	County					medium	find_bounded_title_and_parent_source	Better historical county lead found, but this pass did not establish safe title_exists dates or parentage.
c_bihar	Bihar	reject_bad_lead										high	find_hungarian_county_source	Top lead is the Indian state of Bihar, a wrong-place lead for the Hungarian CK3 seed.
c_bithynia	Bithynia	rank_policy_blocked	src-wikipedia-bithynia	https://en.wikipedia.org/wiki/Bithynia	title-q373189	Bithynia	Region					medium	define_region_or_ancient_kingdom_rank	Better lead is ancient Bithynia as a region/kingdom context, but the row does not resolve to a materialized county-like medieval title.
c_biton	Biton	reject_bad_lead										high	resolve_sami_historical_identity	Top lead is a genus of arachnids; no safe historical title candidate was resolved for the Sami seed.
c_blankenburg	Blankenburg	source_resolution_blocked										medium	find_county_or_principality_source	Top lead is a town; possible County or Principality of Blankenburg material needs separate bounded source custody.
c_blekinge	Blekinge	rank_policy_blocked	src-wikidata-q675653	https://www.wikidata.org/wiki/Q675653	title-q675653	Blekinge	Province					medium	define_province_rank_or_find_title	Top lead is a Swedish province; province rank is not currently a materialized county-title packet.
c_blois	Blois	source_resolution_blocked	src-britannica-blois-countship	https://www.britannica.com/topic/Blois-countship-France	title-q19336869	County of Blois	County					medium	find_bounded_title_and_parent_source	Britannica supports Blois as a medieval feudal countship, but this pass did not establish safe bounded existence or parentage.
c_bothin	Boðin	reject_bad_lead										high	resolve_norwegian_historical_identity	Top lead is a family-name item; no independent title lead was resolved for the Bodin/Boðin seed.
c_bodrog	Bodrog	source_resolution_blocked										medium	find_hungarian_county_source	Top lead is a modern Romanian village; Bodrog/Bács-Bodrog historical county identity needs separate source custody.
c_boeotia	Boeotia	rank_policy_blocked	src-wikidata-q187570	https://www.wikidata.org/wiki/Q187570	title-q187570	Boeotia	Region					medium	define_region_rank_or_find_title	Better lead is the historical region of Boeotia; region semantics are not materialized for county promotion.
c_boleslav	Boleslav	reject_bad_lead										high	find_better_historical_title_source	Top lead is a family-name item and no bounded Bohemian title lead was resolved in this pass.
