ck_id	county	decision	recommended_source_id	recommended_source_url	recommended_title_id	recommended_title_label	recommended_rank	recommended_exists	recommended_parent_id	recommended_parent_label	recommended_parent_span	confidence	next_action	notes
c_groningen	Groningen	source_resolution_blocked										medium	find_bounded_historical_title_source	Top lead is the modern city/province capital. Possible medieval Groningen/Ommelanden or lordship material needs separate bounded title and parentage custody.
c_grunberg	Grunberg	source_resolution_blocked										medium	find_bounded_historical_title_source	Top lead is modern Zielona Gora, a city with powiat rights. No independent bounded county/title packet ready.
c_grunningen	Grünningen	reject_bad_lead										high	resolve_correct_place_source	Top lead is a protected area in Norway, not the CK3 Swabian Gruningen seed or title material.
c_gudbrandsdalir	Guðbrandsdalir	source_resolution_blocked	src-wikidata-q1193961	https://www.wikidata.org/wiki/Q1193961	title-candidate-gudbrandsdalen	Gudbrandsdalen	Region					medium	define_valley_or_district_rank	The CK3 seed resolves plausibly to Gudbrandsdalen, a Norwegian valley/traditional district, but no materialized title rank or parentage packet is ready.
c_guelders	Guelders	source_resolution_blocked	src-britannica-gelre	https://www.britannica.com/place/Gelre	title-q152420	Duchy of Guelders	Duchy					high	parentage_source_review	Better lead is the locally materialized Duchy of Guelders; fixtures already have title facts, but this shard has no accepted parentage span.
c_guines	Guînes	source_resolution_blocked	src-wikidata-q484170	https://www.wikidata.org/wiki/Q484170	title-q484170	County of Guînes	County					medium	find_bounded_title_and_parent_source	Better lead is County of Guines, but this pass did not establish safe bounded title_exists or parentage custody.
c_guria	Guria	rank_policy_blocked	src-wikidata-q891451	https://www.wikidata.org/wiki/Q891451	title-q891451	Principality of Guria	Principality	1463..1829				medium	define_principality_rank_or_defer	Better historical lead is a principality; principality rank is not currently a materialized county-parentage import path.
c_monmouthshire	Gwent	source_resolution_blocked	src-wikidata-q1570649	https://www.wikidata.org/wiki/Q1570649	title-q1570649	Kingdom of Gwent	Kingdom					medium	find_bounded_title_and_parent_source	Better lead is the Kingdom of Gwent rather than the modern preserved county, but no bounded title_exists or parentage packet is ready.
c_gyor	Gyor	source_resolution_blocked	src-wikidata-q942625	https://www.wikidata.org/wiki/Q942625	title-q942625	Gyor County	County					medium	resolve_bounded_dates_before_packet	Better lead is historical Gyor County of Hungary, but bounded dates and parentage custody were not established in this pass.
c_hadrianeia	Hadrianeia	rank_policy_blocked	src-wikidata-q1567556	https://www.wikidata.org/wiki/Q1567556	title-q1567556	Hadrianeia	City					medium	define_city_rank_or_defer	Lead is an ancient city in Mysia; city rank is not currently materialized for county parentage.
