shard_id	row_index	ck_id	county	ck_duchy	kingdom_867	kingdom_1066	kingdom_1178	empire_867	empire_1066	empire_1178	match_status	screen_status	top_qid	top_label	top_description	historical_title_id	historical_rank	historical_exists	accepted_parentage_count	scale_status	agent_task	notes
county-scale-003	101	c_beloozero	Beloozero	Vepsia	Novgorod	Novgorod	Novgorod	Russia	Russia	Russia	fuzzy_label	defer	Q104764	Belozersk	town in Russia				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-003	102	c_belz	Belz	Cherven Cities	Galicia-Volhynia	Galicia-Volhynia	Galicia-Volhynia	West-Slavia	West-Slavia	West-Slavia	exact_label	defer	Q62856	Belz	commune in Morbihan, France				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-003	103	c_benavente	Benavente	León	Asturias	León	León	Hispania	Hispania	Hispania	exact_label	defer	Q571140	Benavente	municipality in Ribatejo, Portugal				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-003	104	c_benevento	Benevento	Benevento	Sicily	Sicily	Sicily	Byzantine Empire	Byzantine Empire	Italia	exact_label	defer	Q13437	Benevento	Italian comune				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-003	105	c_beograd	Beograd	Mačva	Serbia	Serbia	Serbia	Byzantine Empire	Byzantine Empire	Byzantine Empire	fuzzy_label	defer	Q3711	Belgrade	capital of Serbia				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-003	106	c_berchtesgaden	Berchtesgaden	Salzburg	Bavaria	Bavaria	Bavaria	Germania	Holy Roman Empire	Holy Roman Empire	exact_label	defer	Q278221	Berchtesgaden	market municipality of Germany				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-003	107	c_bereg	Bereg	Transcarpathia	Hungary	Hungary	Hungary	Carpathia	Carpathia	Carpathia	exact_label	defer	Q11960613	Bereg	fictional character from J.R.R. Tolkien's legendarium				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-003	108	c_berestye	Berestye	Volhynia	Galicia-Volhynia	Galicia-Volhynia	Galicia-Volhynia	West-Slavia	West-Slavia	West-Slavia	fuzzy_label	defer	Q2499504	Berestye Archeological Museum	archaeological museum in Belarus				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-003	109	c_bergh	Berg	Lower Lotharingia	Lotharingia	Lotharingia	Lotharingia	Germania	Holy Roman Empire	Holy Roman Empire	exact_label	defer	Q12785738	Berg	family name				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-003	110	c_berkshire	Berkshire	Hwicce	England	England	England	Britannia	Britannia	Britannia	exact_label	defer	Q67284726	Berkshire	historic county of England, United Kingdom				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
