ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_dessau	Dessau	Anhalt	Q487070	Dessau	city in Saxony-Anhalt, Germany; since 2007 district of Dessau-Roßlau	Q253019; Q262166		2007			defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_devon	Devon	Cornwall	Q67393660	Devon	historic county of England	Q1138494; Q2221906					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_dijon	Dijon	Burgundy	Q7003	Dijon	commune in Côte-d'Or, France	Q484170; Q1549591					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_ditmarschen	Dithmarschen	Holstein	Q7868510	USS Conecuh	1937 Dithmarschen-class supply ship	Q2518299					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_dobrzynska	Dobrzyń	Kuyavia	Q115267059	Dobrzyń	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_dokkum	Dokkum	Frisia	Q41976	Dokkum	city in Noardeast-Fryslân, Netherlands	Q13539802; Q1852859					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_dole	Dole	Upper Burgundy	Q205586	Dole	commune in Jura, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_donjikraji	Donji Kraji	Upper Bosnia	Q5296194	Donji Kraji	zemlja of medieval Bosnian state, historical region of Bosnia and Herzegovina	Q353344; Q1620908; Q1977215; Q110812103	1230	1463			bounded_candidate	Has structured inception and dissolution claims; verify rank/entity semantics before fact promotion.
c_dorohoi	Dorohoi	Bukovina	Q756587	Dorohoi	city in Botoșani County, Romania	Q640364	1408				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_dorset	Dorset	Wessex	Q67479793	Dorset	historic county of England, United Kingdom	Q1138494					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_dortmund	Dortmund	Lower Lotharingia	Q1295	Dortmund	city in North Rhine-Westphalia, Germany	Q85635630; Q1549591; Q253030; Q707813; Q42744322	882				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_doudleby	Doudleby	Bohemia	Q56414150	Doudleby		Q56398194; Q61089180					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_dresden	Dresden	Meissen	Q1731	Dresden	capital city of the Free State of Saxony in Germany	Q1549591; Q253030; Q42744322; Q61708099	1206				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_dublin	Dublin	Meath	Q1761	Dublin	capital and largest city of Ireland	Q1549591; Q51929311; Q2264924	841				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_dubrovytsia	Dubrovytsia	Turov	Q205765	Dubrovytsia	city in Ukraine	Q12131624					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_duklja	Duklja	Duklja	Q1252942	Duklja	Medieval principality in Eastern/Southern Europe	Q3024240; Q56061	854	1252			bounded_candidate	Has structured inception and dissolution claims; verify rank/entity semantics before fact promotion.
c_dunbar	Dunbar	Lothian	Q21452734	Dunbar	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_durham	Durham	Northumbria	Q49229	Durham	county seat of Durham County, North Carolina, United States	Q1093829; Q1549591; Q62049; Q132680629	1869				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_durne	Dürn	West Franconia	Q37469587	Durn	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_dvin	Dvin	Greater Armenia	Q80021	Daugavpils	state city in south-eastern Latvia	Q109329953; Q15127838	1275				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_pembrokeshire	Dyfed	Deheubarth	Q21469886	Dyfed	male given name	Q12308941					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_dyrrachion	Dyrrachion	Dyrrachion	Q83285	Durrës	city in Albania	Q515; Q1549591; Q486972					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_east_riding	East Riding	York	Q2194352	East Riding of Yorkshire	one of the historic subdivisions of Yorkshire	Q94730503					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_eichstadt	Eichstätt	Nordgau	Q252772	Eichstätt	town in Bavaria, Germany	Q448801; Q42744322; Q134626; Q85631896; Q85631896					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_elvas	Elvas	Beja	Q243849	Elvas	municipality in Portugal	Q13217644					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_ennis	Ennis	Munster	Q209128	Ennis	town in County Clare, Ireland	Q1357964					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_epeiros	Epeiros	Epirus	Q113639992	Epeiros 1 (Pauly-Wissowa)	encyclopedic article in Paulys Realencyclopädie der classischen Altertumswissenschaft (RE)	Q13433827					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_erbach	Erbach	West Franconia	Q37475286	Erbach	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_caernarfonshire	Eryri	Gwynedd	Q867913	Snowdonia	mountainous area in Wales	Q1061151; Q422211; Q46831					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_eschenlohe	Eschenlohe	Bavaria	Q176219	Eschenlohe	municipality of Germany	Q116457956					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_essex	Essex	Essex	Q67442940	Essex	historic county of England	Q1138494					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_esztergom	Esztergom	Visegrad	Q171353	Esztergom	city in Hungary	Q681277; Q13218690; Q902814					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_eu	Eu	Normandy	Q8752	Basque	language of the Basque people	Q1288568; Q33742					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_euboea	Euboea	Athens	Q173096	Euboea	Greek island	Q23442					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_euchaita	Euchaita	Armeniac	Q383825	Euchaita	ancient town in modern Turkey	Q22674925; Q22085013					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_beja	Évora	Beja	Q179948	Évora	municipality in Portugal	Q13217644	1166				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_evreux	Évreux	Normandy	Q171800	Évreux	commune in Eure, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_faereyar	Færeyjar	Northern Isles	Q4628	Faroe Islands	North Atlantic archipelago organized as an autonomous constituent country of the Kingdom of Denmark	Q66724388; Q192611	1948				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_falkenstein	Falkenstein	Bavaria	Q521215	Falkenstein	municipality of Bavaria, Germany	Q116457956					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_famagusta	Famagusta	Cyprus	Q193190	Famagusta	city in northern Cyprus	Q29556224; Q902814					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_faro	Faro	Algarve	Q159457	Faro	municipality in Portugal	Q13217644	1266				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_feher	Fehér	Transylvania	Q290348	Fehér	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_fermo	Fermo	Ancona	Q13139	Fermo	Italian comune	Q747074					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_ferrara	Ferrara	Romagna	Q13362	Ferrara	comune in Emilia-Romagna, Italy	Q747074; Q515; Q1549591; Q1392581					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_fife	Fife	Albany	Q201149	Fife	council area of Scotland, UK	Q15060255; Q34763; Q2138167; Q7309443; Q202435					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
