child_id	child_name	current_fact_id	current_parent_id	current_parent_name	span	review_status	review_disposition	evidence_needed	review_note
title-q568473	Burgraviate of Nuremberg	fact-q568473-parent-q12548	title-q12548	Holy Roman Empire	1105..1440	reviewed	same_parent_sibling_false_positive	child_level_intermediate_source	Bridge candidate Duchy of Bavaria is a shared-HRE-parent false positive. Existing text support keeps the burgraviate as an imperial office/territory under the HRE; do not import a Bavaria intermediate without a child-level source.
title-q1122980	Comtat Venaissin	fact-q1122980-parent-q170174	title-q170174	Papal States	1274..1791	reviewed	same_parent_sibling_false_positive	theocratic_territory_relation_model	Bridge candidate Duchy of Ferrara is a shared-Papal-parent false positive. Keep Papal States direct parentage until DUCHY models papal enclaves/theocratic territorial administration separately from parentage.
title-q1233672	County of Barcelona	fact-q1233672-parent-q204920	title-q204920	Crown of Aragon	1162..1164	reviewed	needs_child_level_intermediate_source	catalan_counties_or_principality_source	The accepted packet only supports the short endpoint under the Crown of Aragon. Do not infer Catalan Counties or Principality of Catalonia parentage without a bounded child-level source for this span.
title-q642314	County of Burgundy	fact-q642314-parent-q12548	title-q12548	Holy Roman Empire	982..1678	reviewed	needs_relation_model	kingdom_arles_or_burgundian_circle_review	Bridge candidate Duchy of Bavaria is a shared-HRE-parent false positive. Current source was scoped to Free County of Burgundy -> HRE only; Upper Burgundy, Arles, circle, and personal-union layers remain out of scope.
title-q1541699	County of Empuries	fact-q1541699-parent-q204920	title-q204920	Crown of Aragon	1341..1402	reviewed	needs_child_level_intermediate_source	principality_catalonia_relation_source	Accepted text support says Empuries was an apanage of the Crown of Aragon until 1402 annexation into the Principality of Catalonia. No intermediate parentage is importable for 1341..1402 from current evidence.
title-q157070	County of Flanders	fact-q157070-parent-q12548	title-q12548	Holy Roman Empire	962..1383	reviewed	needs_split_control_relation_model	french_imperial_fief_split_source	Bridge candidate Duchy of Bavaria is a shared-HRE-parent false positive. Current Flanders source is weak text support for HRE context only; French/Imperial fief split remains held.
title-q157070	County of Flanders	fact-q157070-parent-q12548	title-q12548	Holy Roman Empire	1483..1797	reviewed	needs_split_control_relation_model	habsburg_burgundian_or_french_successor_source	Bridge candidate Anhalt-Bernburg is a shared-HRE-parent false positive. Burgundian Netherlands replacement already covers 1384..1482; post-1482 split needs separate source and relation modeling.
title-q675363	County of Geneva	fact-q675363-parent-q12548	title-q12548	Holy Roman Empire	1032..1401	reviewed	needs_relation_model	kingdom_arles_or_savoyard_successor_review	Bridge candidate Duchy of Bavaria is a shared-HRE-parent false positive. Current source only supports Geneva as an HRE county after Arles fell to the empire; predecessor and Savoyard layers remain unimported.
title-q2037817	County of Girona	fact-q2037817-parent-q31929	title-q31929	Carolingian Empire	800..887	reviewed	needs_relation_model	spanish_march_or_frankish_county_model	The accepted packet supports Girona under the Carolingian Empire. No duchy-rank intermediate is available; Spanish March or frontier-county semantics need a relation model before import.
title-q762943	County of Holland	fact-q762943-parent-q12548	title-q12548	Holy Roman Empire	962..1432	reviewed	needs_child_level_intermediate_source	frisia_lotharingia_or_burgundian_transition_source	Bridge candidate Duchy of Bavaria is a shared-HRE-parent false positive. Burgundian Netherlands replacement starts at 1433; earlier Holland needs child-level source review before adding any intermediate.
