ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_bresse	Bresse	Upper Burgundy	Q37475789	Bresse	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_brie_francaise	Brie Française	Valois	Q914050	Brie	natural region in France	Q1970725; Q572995					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_briey	Briey	Bar	Q215053	Briey	former commune in Meurthe-et-Moselle, France	Q484170; Q21869758		2016			defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_brixen	Brixen	Tyrol	Q185541	Brixen	commune in South Tyrol, Italy	Q747074					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_brno	Brno	Moravia	Q14960	Brno	city in the Czech Republic	Q15978299; Q257978; Q7819319; Q5153359; Q12031379; Q8452914; Q7841907; Q1549591	1243				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_brugge	Brugge	Flanders	Q12994	Bruges	city in West Flanders, Belgium	Q1549591; Q15273785; Q493522; Q515					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_brecknockshire	Brycheiniog	Deheubarth	Q954585	Kingdom of Brycheiniog	small kingdom in mid Wales	Q3024240; Q417175	450	1045			bounded_candidate	Has structured inception and dissolution claims; verify rank/entity semantics before fact promotion.
c_brysis	Brysis	Thrace	Q995331	Brysis		Q15217609	1929				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_brzeg	Brzeg	Opolania	Q214640	Brzeg	city in Opole Voivodeship in southwestern Poland	Q2616791					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_buchan	Buchan	Moray	Q16860612	Buchan	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_buckinghamshire	Buckinghamshire	Essex	Q67285329	Buckinghamshire	historic county of England	Q1138494					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_burgas	Burgas	Philippopolis	Q6509	Burgas	city in Burgas municipality, Burgas oblast, Bulgaria	Q1549591; Q15303838; Q15344922; Q89487741					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_burgau	Burgau	Augsburg	Q505896	Burgau	municipality of Germany	Q42744322					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_burgos	Burgos	Castile	Q9580	Burgos	municipality in Castile and Leon, Spain	Q2074737	884				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_buthrotum	Buthrotum	Cephalonia	Q188694	Butrint	ancient city of Albania	Q93342462; Q148837					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_buzau	Buzău	Muntenia	Q201404	Buzău	city in Buzău County, Romania	Q640364; Q34843301; Q1549591	1431				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_byzantion	Byzantion	Thrace	Q23725	Byzantium	ancient Greek city, precursor of Constantinople	Q15661340; Q148837	-667	330			bounded_candidate	Has structured inception and dissolution claims; verify rank/entity semantics before fact promotion.
c_cabra	Cabra	Granada	Q37436540	Cabra	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_caceres	Caceres	Badajoz	Q15678	Cáceres	town of Extremadura, Spain	Q2074737					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
