ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_aachen	Aachen	Jülich	Q1017	Aachen	city in North Rhine-Westphalia, Germany	Q1549591; Q1187811; Q902814; Q4946461; Q42744322; Q57318; Q85635630; Q1780389					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_aalborg	Aalborg	Jylland	Q25410	Aalborg	city in Denmark	Q1549591	1342				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_aargau	Aargau	Transjurania	Q11972	Canton of Aargau	canton of Switzerland	Q23058; Q56061	1803				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_aarhus	Aarhus	Jylland	Q25319	Aarhus	city in Central Denmark Region	Q1549591	800				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_abauj	Abauj	Ungvár	Q1049854	Abaúj county	Historical county in the Kingdom of Hungary	Q852231	1201	1881			bounded_candidate	Has structured inception and dissolution claims; verify rank/entity semantics before fact promotion.
c_abkhazia	Abkhazia	Abkhazia	Q31354462	Republic of Abkhazia	state with limited recognition in the Caucasus	Q10711424	1994				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_abruzzi	Abruzzi	Spoleto	Q1284	Abruzzo	region in Italy	Q16110					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_abydos	Abydos	Aegean Islands	Q23849061	Abydos	article in Otto's encyclopedia	Q13433827					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_achaia	Achaia	Achaia	Q2495811	Achaea Regional Unit	regional unit in Western Greece, Greece	Q1234255	2011				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_adrianopolis	Adrianopolis	Philippopolis	Q43387	Edirne	central district and city in Edirne Province, Turkey	Q515; Q1549591; Q15284	125				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_aeolis	Aeolis	Ephesos	Q26213066	Aeolis	genus of molluscs	Q16521					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_aetolia	Aetolia	Epirus	Q4688763	Aetolia	2001 video game	Q7889					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_agenais	Agen	Gascogne	Q6625	Agen	commune in Lot-et-Garonne, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_ailech	Ailech	Ulster	Q15104874	Ailech		Q3024240	600	780			bounded_candidate	Has structured inception and dissolution claims; verify rank/entity semantics before fact promotion.
c_ajaccio	Ajaccio	Corsica	Q40104	Ajaccio	French commune and prefecture of Corse-du-Sud and Corsica	Q484170; Q515					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_akkel	Akkel	Giemajohka	Q24934204	Akkyol	lake in Makhachkala, Russia	Q23397					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_aland	Aland	Uppland	Q5689	Åland	autonomous region of Finland	Q193512; Q782614; Q41691; Q15212617; Q406957; Q853697					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_alarcon	Alarcon	Murcia	Q37262384	Alarcon	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_almader	Alarcos	Cordoba	Q2830654	Alarcos	human settlement in Ciudad Real Province, Castile-La Mancha, Spain	Q3257686; Q15661340; Q21751582					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
