ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_knittelfeld	Knittelfeld	Carinthia	Q494621	Knittelfeld	municipality in Murtal District, Styria, Austria	Q667509; Q13539802					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_koblenz	Koblenz	Lower Lotharingia	Q3104	Koblenz	German city on the banks of the Rhine and of the Moselle	Q1549591; Q42744322; Q56061; Q85632032; Q134626					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_cammin	Kołobrzeg	Pomerania	Q110011	Kołobrzeg	city and urban gmina of Poland	Q2616791; Q707813; Q4946461; Q515; Q1200957	1000				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kolon	Kolon	Somogy	Q1072	heart	inner organ for the circulation of blood	Q103812529; Q112826905					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_komarom	Komárom	Visegrad	Q210796	Komárno	town in Slovakia	Q3957; Q6784672; Q902814; Q67123843	1075				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kontupohja	Kontupohja	Karelia	Q155108	Kondopoga	human settlement in Republic of Karelia, Russia	Q192287; Q486972; Q7930989	1563				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_korinthos	Korinthos	Achaia	Q103011	Corinth	seaside city in Peloponnese, Greece	Q515					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_korosten	Korosten	Turov	Q158904	Korosten	city in Ukraine	Q5123999					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_korsun	Korsun	Kyiv	Q13133528	Korsuń	village in Drahičyn district, Belarus	Q65661087					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_koutajoki	Koutajoki	Giemajohka	Q76084508	Kovda River Basin	drainage basin in Fennoscandia	Q166620					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_kozelsk	Kozelsk	Karachev	Q154661	Kozelsk	human settlement in Kozelsky District, Kaluga Oblast, Russia	Q7930989	1200				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
