candidate_id	source_id	source_url	status	review_batch_id	import_scope	rank_basis	entity_class	source_claims_used	confidence_detail	parentage_status	query_readiness	exclusion_reason	notes
cand-q389688	src-wikidata-q389688	https://www.wikidata.org/wiki/Q389688	pending	batch-500-candidates	title_identity_only	literal	empire	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	existence_only		Candidate label: Achaemenid Empire; description: Iranian (Persian) empire (550–330 BC); article: https://en.wikipedia.org/wiki/Achaemenid_Empire
cand-q207600	src-wikidata-q207600	https://www.wikidata.org/wiki/Q207600	pending	batch-500-candidates	contested_review	unsupported	other	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Aghlabids; description: dynasty; article: https://en.wikipedia.org/wiki/Aghlabid_dynasty
cand-q2208978	src-wikidata-q2208978	https://www.wikidata.org/wiki/Q2208978	pending	batch-500-candidates	contested_review	unsupported	administrative_region	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Alamannia; description: former territory inhabited by the Germanic Alemanni peoples; article: https://en.wikipedia.org/wiki/Alamannia
cand-q335070	src-wikidata-q335070	https://www.wikidata.org/wiki/Q335070	pending	batch-500-candidates	contested_review	unsupported	other	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Alba Longa; description: ancient city of Latium in central Italy; article: https://en.wikipedia.org/wiki/Alba_Longa
cand-q1048340	src-wikidata-q1048340	https://www.wikidata.org/wiki/Q1048340	pending	batch-500-candidates	title_identity_only	literal	kingdom	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	existence_only		Candidate label: Albanian Kingdom; description: period in 20th century Albanian history; article: https://en.wikipedia.org/wiki/Albanian_Kingdom_(1928%E2%80%931939)
cand-q1923781	src-wikidata-q1923781	https://www.wikidata.org/wiki/Q1923781	pending	batch-500-candidates	contested_review	unsupported	free_city	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Albanian Republic; description: 1925-1928 sovereign state in Europe, predecessor of modern Albania; article: https://en.wikipedia.org/wiki/Albanian_Republic_(1925%E2%80%931928)
cand-q199688	src-wikidata-q199688	https://www.wikidata.org/wiki/Q199688	pending	batch-500-candidates	title_identity_only	literal	empire	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	existence_only		Candidate label: Almohad Caliphate; description: 1121–1269 Berber empire in North Africa and Iberia; article: https://en.wikipedia.org/wiki/Almohad_Caliphate
cand-q1463691	src-wikidata-q1463691	https://www.wikidata.org/wiki/Q1463691	pending	batch-500-candidates	contested_review	unsupported	free_city	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Anconine Republic; description: former country (1797–1798); article: https://en.wikipedia.org/wiki/Anconine_Republic
cand-q784963	src-wikidata-q784963	https://www.wikidata.org/wiki/Q784963	pending	batch-500-candidates	contested_review	unsupported	other	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Anglo-Saxon England; description: historical land roughly corresponding to present-day England; article: https://en.wikipedia.org/wiki/History_of_Anglo-Saxon_England
cand-q278874	src-wikidata-q278874	https://www.wikidata.org/wiki/Q278874	pending	batch-500-candidates	title_identity_only	normalized	duchy	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	existence_only		Candidate label: Anhalt-Dessau; description: principality of the Holy Roman Empire and later a duchy of the German Confederation; article: https://en.wikipedia.org/wiki/Anhalt-Dessau
cand-q264970	src-wikidata-q264970	https://www.wikidata.org/wiki/Q264970	pending	batch-500-candidates	title_identity_only	normalized	principality	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	existence_only		Candidate label: Anhalt-Köthen; description: principality of the Holy Roman Empire; article: https://en.wikipedia.org/wiki/Anhalt-K%C3%B6then
cand-q3181749	src-wikidata-q3181749	https://www.wikidata.org/wiki/Q3181749	pending	batch-500-candidates	title_identity_only	literal	empire	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	existence_only		Candidate label: Arab Caliphate; description: Caliphate established by Arab people, 632–1258; article: https://en.wikipedia.org/wiki/Arab_Caliphate
cand-q636389	src-wikidata-q636389	https://www.wikidata.org/wiki/Q636389	pending	batch-500-candidates	contested_review	unsupported	theocratic_state	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Archbishopric of Magdeburg; description: former archdiocese of the Catholic Church; article: https://en.wikipedia.org/wiki/Archbishopric_of_Magdeburg
cand-q15471939	src-wikidata-q15471939	https://www.wikidata.org/wiki/Q15471939	pending	batch-500-candidates	contested_review	unsupported	theocratic_state	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Archbishopric of Riga; description: since 1186 to 1561, medieval archdiocese in Livonian confederation; article: https://en.wikipedia.org/wiki/Archbishopric_of_Riga
cand-q699964	src-wikidata-q699964	https://www.wikidata.org/wiki/Q699964	pending	batch-500-candidates	title_identity_only	normalized	duchy	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	existence_only		Candidate label: Archduchy of Austria; description: fief of the Holy Roman Empire, 1453–1806; article: https://en.wikipedia.org/wiki/Archduchy_of_Austria
cand-q105098	src-wikidata-q105098	https://www.wikidata.org/wiki/Q105098	pending	batch-500-candidates	contested_review	unsupported	administrative_region	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Austrasia; description: Medieval European territory; article: https://en.wikipedia.org/wiki/Austrasia
cand-q131964	src-wikidata-q131964	https://www.wikidata.org/wiki/Q131964	pending	batch-500-candidates	title_identity_only	literal	empire	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	existence_only		Candidate label: Austrian Empire; description: Central European multinational Empire from 1804 to 1867; article: https://en.wikipedia.org/wiki/Austrian_Empire
cand-q306696	src-wikidata-q306696	https://www.wikidata.org/wiki/Q306696	pending	batch-500-candidates	contested_review	unsupported	other	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Austrian Littoral; description: former country; article: https://en.wikipedia.org/wiki/Austrian_Littoral
cand-q700283	src-wikidata-q700283	https://www.wikidata.org/wiki/Q700283	pending	batch-500-candidates	contested_review	unsupported	administrative_region	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Austrian Netherlands; description: major part of the Southern Netherlands region between 1714 and 1797; article: https://en.wikipedia.org/wiki/Austrian_Netherlands
cand-q28513	src-wikidata-q28513	https://www.wikidata.org/wiki/Q28513	pending	batch-500-candidates	title_identity_only	literal	empire	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	existence_only		Candidate label: Austria–Hungary; description: 1867–1918 empire in Central Europe; article: https://en.wikipedia.org/wiki/Austria-Hungary
cand-q1028133	src-wikidata-q1028133	https://www.wikidata.org/wiki/Q1028133	pending	batch-500-candidates	contested_review	unsupported	free_city	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Autonomous Albanian Republic of Korçë; description: 1916-1920 republic in Europe; article: https://en.wikipedia.org/wiki/Autonomous_Province_of_Kor%C3%A7%C3%AB
cand-q192262	src-wikidata-q192262	https://www.wikidata.org/wiki/Q192262	pending	batch-500-candidates	contested_review	unsupported	administrative_region	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Autonomous Province of Western Bosnia; description: former country; article: https://en.wikipedia.org/wiki/Autonomous_Province_of_Western_Bosnia
cand-q730163	src-wikidata-q730163	https://www.wikidata.org/wiki/Q730163	pending	batch-500-candidates	contested_review	unsupported	free_city	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Autonomous Republic of Northern Epirus; description: short-lived 1914 republic in Europe; article: https://en.wikipedia.org/wiki/Autonomous_Republic_of_Northern_Epirus
cand-q28411	src-wikidata-q28411	https://www.wikidata.org/wiki/Q28411	pending	batch-500-candidates	contested_review	unsupported	other	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Avar Khaganate; description: organized nomadic confederacy in the Central Europe; article: https://en.wikipedia.org/wiki/Avar_Khaganate
cand-q206411	src-wikidata-q206411	https://www.wikidata.org/wiki/Q206411	pending	batch-500-candidates	contested_review	unsupported	free_city	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Azerbaijan Democratic Republic; description: former country in the South Caucasus (1918–1920); article: https://en.wikipedia.org/wiki/Azerbaijan_Democratic_Republic
cand-q156513	src-wikidata-q156513	https://www.wikidata.org/wiki/Q156513	pending	batch-500-candidates	contested_review	unsupported	free_city	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Banat Republic; description: former country; article: https://en.wikipedia.org/wiki/Banat_Republic
cand-q3627069	src-wikidata-q3627069	https://www.wikidata.org/wiki/Q3627069	pending	batch-500-candidates	contested_review	unsupported	other	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Banate of Bosnia; description: Bosnian de-facto independent feudal state during Middle Ages; article: https://en.wikipedia.org/wiki/Banate_of_Bosnia
cand-q188553	src-wikidata-q188553	https://www.wikidata.org/wiki/Q188553	pending	batch-500-candidates	contested_review	unsupported	free_city	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Batavian Republic; description: republic of the Netherlands in Western Europe between 1795–1806; article: https://en.wikipedia.org/wiki/Batavian_Republic
cand-q552033	src-wikidata-q552033	https://www.wikidata.org/wiki/Q552033	pending	batch-500-candidates	title_identity_only	normalized	duchy	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	existence_only		Candidate label: Bavaria-Munich; description: duchy part of the Holy Roman Empire; article: https://en.wikipedia.org/wiki/Bavaria-Munich
cand-q58738	src-wikidata-q58738	https://www.wikidata.org/wiki/Q58738	pending	batch-500-candidates	contested_review	unsupported	free_city	label,description,enwiki_sitelink,continent	wikidata_structured_single	none_reviewed	unsupported		Candidate label: Bavarian Soviet Republic; description: short-lived unrecognised socialist state in Bavaria during the German Revolution of 1918–19; article: https://en.wikipedia.org/wiki/Bavarian_Soviet_Republic
