ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_groningen	Groningen	Utrecht	Q749	Groningen	capital city of the province of Groningen, the Netherlands	Q515; Q13539802; Q677678; Q1852859; Q707813; Q1549591; Q1392581					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_grunberg	Grunberg	Silesia	Q104720	Zielona Góra	City with powiat rights of Poland	Q925381; Q515; Q1549591					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_grunningen	Grünningen	Swabia	Q108074103	Grunningen	protected area in Norway	Q179049			1996		defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_guelders	Guelders	Gelre	Q775	Gelderland	province of the Netherlands	Q134390					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_guines	Guînes	Flanders	Q325999	Guînes	commune in Pas-de-Calais, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_guria	Guria	Abkhazia	Q19038	Guria	region (mkhare) of Georgia	Q1210300	1995				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_monmouthshire	Gwent	Deheubarth	Q1376956	Gwent	preserved county and former local government county in south-east Wales, United Kingdom	Q630638; Q19953632					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_gyor	Gyor	Gyor	Q134494	Győr	city in Győr-Moson-Sopron County, Hungary	Q13218690; Q681277; Q1175522; Q587089; Q1549591					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hadrianeia	Hadrianeia	Thracesia	Q1567556	Hadrianeia	ancient city in Mysia	Q15661340; Q464780					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hadrianopolis	Hadrianopolis	Bucellaria	Q43387	Edirne	central district and city in Edirne Province, Turkey	Q515; Q1549591; Q15284	125				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_hainaut	Hainaut	Brabant	Q3125766	Hainaut	traditional county in Belgium and France	Q1414991; Q572995					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_halberstadt	Halberstadt	Anhalt	Q7072	Halberstadt	town in Harz District, Saxony-Anhalt, Germany	Q42744322; Q707813; Q134626					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_halland	Halland	Skåne	Q103691	Halland County	county (län) in Sweden	Q200547	1658				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
