child_id	child_name	child_rank	current_fact_id	current_parent_id	current_parent_name	span	review_status	review_disposition	evidence_needed	review_note
title-q686965	Anhalt-Bernburg	Duchy	fact-q686965-parent-q12548	title-q12548	Holy Roman Empire	1252..1806	reviewed	needs_relation_model	imperial_state_or_principality_model	Bridge candidate Kingdom of Bohemia is a shared-HRE-parent false positive. Accepted text support identifies Anhalt-Bernburg as an HRE state; do not infer Bohemian parentage without child-level evidence.
title-q686965	Anhalt-Bernburg	Duchy	fact-q686965-parent-q151624	title-q151624	German Confederation	1815..1863	reviewed	needs_relation_model	confederation_member_state_model	Bridge candidate Kingdom of Bavaria is a shared-confederation-parent false positive. Existing evidence supports German Confederation membership, not Bavaria parentage.
title-q278874	Anhalt-Dessau	Duchy	fact-q278874-parent-q12548	title-q12548	Holy Roman Empire	1396..1806	reviewed	needs_relation_model	imperial_state_or_principality_model	Bridge candidate Kingdom of Bohemia is a shared-HRE-parent false positive. Accepted text support identifies Anhalt-Dessau as an HRE state; partition and successor detail remains out of scope.
title-q278874	Anhalt-Dessau	Duchy	fact-q278874-parent-q151624	title-q151624	German Confederation	1815..1853	reviewed	needs_relation_model	confederation_member_state_model	Bridge candidate Kingdom of Bavaria is a shared-confederation-parent false positive. Existing evidence supports German Confederation membership, not Bavaria parentage.
title-q264970	Anhalt-Kothen	Duchy	fact-q264970-parent-q12548	title-q12548	Holy Roman Empire	1396..1806	reviewed	needs_relation_model	imperial_state_or_principality_model	Bridge candidate Kingdom of Bohemia is a shared-HRE-parent false positive. Accepted text support identifies Anhalt-Kothen as an HRE state; partition and successor detail remains out of scope.
title-q264970	Anhalt-Kothen	Duchy	fact-q264970-parent-q151624	title-q151624	German Confederation	1815..1863	reviewed	needs_relation_model	confederation_member_state_model	Bridge candidate Kingdom of Bavaria is a shared-confederation-parent false positive. Existing evidence supports German Confederation membership, not Bavaria parentage.
title-q699964	Archduchy of Austria	Duchy	fact-q699964-parent-q12548	title-q12548	Holy Roman Empire	1358..1803	reviewed	needs_relation_model	imperial_state_or_habsburg_lands_model	Bridge candidate Kingdom of Bohemia is a shared-HRE-parent false positive. Accepted text support identifies the archduchy as an HRE state; hereditary-lands and imperial-office semantics remain out of parentage.
title-q699964	Archduchy of Austria	Duchy	fact-q699964-parent-q131964	title-q131964	Austrian Empire	1804..1866	reviewed	needs_source_custody_tightening	crownland_or_habsburg_lands_text_source	Bridge candidate Kingdom of Bohemia is a shared-Austrian-Empire-parent false positive. Current edge is structured-data backed; add text custody before considering crownland or internal monarchy modeling.
title-q699964	Archduchy of Austria	Duchy	fact-q699964-parent-q28513	title-q28513	Austria-Hungary	1867..1918	reviewed	needs_source_custody_tightening	crownland_or_cisleithania_text_source	Bridge candidate Kingdom of Bohemia is a shared-Austria-Hungary-parent false positive. Current edge is structured-data backed; add text custody before considering crownland, Cisleithania, or internal monarchy modeling.
title-q552033	Bavaria-Munich	Duchy	fact-q552033-parent-q12548	title-q12548	Holy Roman Empire	1392..1505	reviewed	needs_relation_model	imperial_state_or_wittelsbach_partition_model	Bridge candidate Kingdom of Bohemia is a shared-HRE-parent false positive. Accepted text support identifies Bavaria-Munich as an HRE constituent state; Wittelsbach partition and reunification detail remains out of scope.
