child_id	child_name	current_fact_id	current_parent_id	current_parent_name	span	review_status	review_disposition	evidence_needed	review_note
title-q762943	County of Holland	fact-q762943-parent-q12548	title-q12548	Holy Roman Empire	1483..1795	reviewed	needs_split_control_relation_model	habsburg_dutch_or_french_successor_source	Bridge candidate Anhalt-Bernburg is a shared-HRE-parent false positive. Burgundian Netherlands replacement covers 1433..1482; post-1482 Holland needs Habsburg, Dutch Republic, Batavian, or French successor relation review before changing direct HRE parentage.
title-q5177890	County of Luxembourg	fact-q5177890-parent-q12548	title-q12548	Holy Roman Empire	963..1354	reviewed	needs_child_level_intermediate_source	lotharingia_or_ardenne_child_source	Bridge candidate Duchy of Bavaria is a shared-HRE-parent false positive. Current accepted source supports title identity and HRE parentage only; do not infer Lotharingian or dynastic intermediates without a bounded child-level source.
title-q589251	County of Montbeliard	fact-q589251-parent-q12548	title-q12548	Holy Roman Empire	1042..1793	reviewed	needs_relation_model	princely_county_or_imperial_state_model	Bridge candidate Duchy of Bavaria is a shared-HRE-parent false positive. Accepted text support identifies Montbeliard as a state/princely county of the HRE; County of Burgundy, Wurttemberg, Reichstag, and French cession layers remain out of scope.
title-q599613	County of Namur	fact-q599613-parent-q12548	title-q12548	Holy Roman Empire	981..1420	reviewed	needs_child_level_intermediate_source	lotharingia_flanders_or_burgundian_transition_source	Bridge candidate Duchy of Bavaria is a shared-HRE-parent false positive. Current text support only justifies Namur as a county of the HRE; earlier regional or dynastic layers need direct child-level source review.
title-q599613	County of Namur	fact-q599613-parent-q12548	title-q12548	Holy Roman Empire	1483..1795	reviewed	needs_split_control_relation_model	habsburg_spanish_austrian_or_french_successor_source	Bridge candidate Anhalt-Bernburg is a shared-HRE-parent false positive. Burgundian Netherlands replacement covers 1421..1482; post-1482 Namur needs successor and split-control relation review before replacing direct HRE parentage.
title-q12817455	County of Nassau	fact-q12817455-parent-q12548	title-q12548	Holy Roman Empire	1160..1806	reviewed	needs_relation_model	imperial_state_partition_or_princely_rank_model	Bridge candidate Margraviate of Brandenburg is a shared-HRE-parent false positive. Accepted text support identifies Nassau as a German state within the HRE; internal partitions, princely rank, and Duchy of Nassau successor remain unimported.
title-q573290	County of Ravensberg	fact-q573290-parent-q12548	title-q12548	Holy Roman Empire	1140..1806	reviewed	needs_child_level_intermediate_source	julich_cleves_berg_or_prussian_transition_source	Bridge candidate Duchy of Bavaria is a shared-HRE-parent false positive. Existing facts keep HRE direct parentage; any Jülich-Cleves-Berg, Brandenburg-Prussian, or other intermediate needs bounded child-level evidence.
title-q1232887	County of Savoy	fact-q1232887-parent-q12548	title-q12548	Holy Roman Empire	1003..1416	reviewed	needs_relation_model	imperial_state_or_burgundian_kingdom_model	Bridge candidate Duchy of Bavaria is a shared-HRE-parent false positive. Accepted text support identifies Savoy as an HRE state for this span; Burgundian kingdom, imperial-vassal, and later duchy layers remain out of scope.
title-q2991474	County of Wurttemberg	fact-q2991474-parent-q12548	title-q12548	Holy Roman Empire	1083..1495	reviewed	needs_relation_model	imperial_territory_or_swabia_successor_model	Bridge candidate Duchy of Bavaria is a shared-HRE-parent false positive. Accepted text support identifies Wurttemberg as an HRE territory until elevation to duchy; Swabia, partitions, and successor-rank layers remain out of scope.
title-q152420	Duchy of Guelders	fact-q152420-parent-q12548	title-q12548	Holy Roman Empire	1096..1795	reviewed	rank_identity_mismatch_blocker	rank_fact_review_and_lower_lorraine_source	The row appears in the county queue because accepted facts rank title-q152420 as County while the label is Duchy of Guelders. Bridge candidate Duchy of Bavaria is a shared-HRE-parent false positive; review rank identity before any parentage replacement.
