ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_arad	Arad	Temes	Q173591	Arad	city in Arad County, Romania	Q640364; Q34843301; Q1549591					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_arbanon	Arbanon	Dyrrachion	Q2454379	Principality of Arbanon	Albanian principality (1190-1255)	Q208500	1190	1255			bounded_candidate	Has structured inception and dissolution claims; verify rank/entity semantics before fact promotion.
c_arborea	Arborea	Sardinia	Q382568	Arborea	Italian comune	Q747074	1930				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_arezzo	Arezzo	Tuscany	Q13378	Arezzo	Italian comune	Q747074; Q4115680	-900				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_argyll	Argyll	Isles	Q652539	Argyll	historic shire of western Scotland; heartland of the ancient kingdom of Dál Riata, encompassing Knapdale, Kintyre, and the Inner Hebrides	Q7309443; Q67376938; Q1350181					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_armagnac	Armagnac	Armagnac	Q104921761	Armagnac	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_arnhem	Arnheim	Gelre	Q1310	Arnhem	city, municipality and capital of province Gelderland, the Netherlands	Q2039348; Q515; Q1852859; Q707813; Q13539802	1233				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_arnsberg	Arnsberg	Lower Lotharingia	Q3912	Arnsberg	town in North Rhine-Westphalia, Germany	Q1548518; Q707813; Q42744322					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_astorga	Astorga	Galicia	Q36996229	Astorga	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_asturias_de_oviedo	Asturias de Oviedo	Asturias	Q3323403	Asturias de Oviedo	historical comarca in the Kingdom of Asturias						defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_asturias_de_santillana	Asturias de Santillana	Cantabria	Q3330011	Asturias de Santillana		Q1345234; Q1550557					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_athlone	Athlone	Meath	Q369911	Athlone	town in County Westmeath, Ireland	Q3957					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_atholl	Atholl	Albany	Q331254	Atholl	historical division in the Scottish Highlands	Q82794					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_attica	Attica	Athens	Q122443	Attica	historical region of Greece, including the city of Athens	Q34763; Q1620908					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_augsburg	Augsburg	Augsburg	Q2749	Augsburg	city in Bavaria, Germany	Q1549591; Q1187811; Q1547289; Q253030; Q42744322; Q19953632; Q85631896; Q134626	-15				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_aunis	Aunis	Aquitaine	Q773756	Aunis	former province of France	Q209495		1790			defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_auvergne	Auvergne	Auvergne	Q1152	Auvergne	cultural and historical region of France	Q1149061; Q3502482; Q36784; Q12949943		2015			defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_auxerre	Auxerre	Burgundy	Q167600	Auxerre	prefecture and commune in Bourgogne-Franche-Comté, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_aveiro	Aveiro	Coimbra	Q485581	Aveiro	municipality in Portugal	Q13217644					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_avila	Avila	León	Q15688	Ávila	municipality in Castile and León, Spain	Q2074737; Q515					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_aviovara	Aviovara	Duortnoseatnu	Q11853669	Aviovarallisuusoikeus							defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_avlonas	Avlonas	Dyrrachion	Q389439	Avlonas	town in Attica, Greece	Q3957					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_avranches	Avranches	Normandy	Q204430	Avranches	commune in Manche, France	Q484170	2019				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_ayrshire	Ayrshire	Strathclyde	Q793283	Ayrshire	county in Scotland	Q7309443; Q1350181; Q67376938					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_aytos	Aytos	Moesia	Q275178	Aytos	city in Aytos municipality, Burgas oblast, Bulgaria	Q15303838; Q89487741					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_babruysk	Babruysk	Pinsk	Q207294	Babruysk	city in Belarus	Q79323854; Q1549591	1387				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bacs	Bacs	Bacs	Q106631333	Bacs	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_badajoz	Badajoz	Badajoz	Q15679	Badajoz	municipality in Extremadura, Spain	Q2074737; Q515	1834				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
