ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_finland	Finland	Finland	Q33	Finland	country in Northern Europe	Q3624078; Q6256; Q179164; Q63791824	1917				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_finnveden	Finnveden	Småland	Q1796200	Finnveden	historic region of Småland, Sweden	Q82794					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_firenze	Firenze	Tuscany	Q2044	Florence	Italian city and commune, located in Tuscany	Q747074; Q1549591; Q5119; Q4115680					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_fogaras	Fogaras	Transylvania	Q685869	Făgăraș	city in Brașov County, Romania	Q640364	1291				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_foggia	Foggia	Benevento	Q13464	Foggia	Italian comune	Q747074; Q515					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_foix	Foix	Languedoc	Q184392	Foix	commune in Ariège, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_forcalquier	Forcalquier	Provence	Q104431	Forcalquier	commune in Alpes-de-Haute-Provence, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_forez	Forez	Viennois	Q1437284	Forez	former province of France	Q572995					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_fraga	Fraga	Aragon	Q13158	strawberry	hybrid species in the rose family	Q16521					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_frankfurt	Frankfurt	West Franconia	Q4024	Frankfurt (Oder)	city in Brandenburg, Germany	Q1187811; Q707813; Q42744322; Q61793478; Q902814; Q67123843; Q515	1201				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_freistadt	Freistadt	Austria	Q106078447	Freistadt	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_frisia	Frisia	Frisia	Q770	Friesland	province of the Netherlands	Q134390	1814				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_friuli	Friuli	Friuli	Q1250	Friuli Venezia Giulia	autonomous region of Italy	Q1710033	1963				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_frontenhausen	Frontenhausen	Bavaria	Q528319	Frontenhausen	market municipality of Germany	Q100341898; Q116457956					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_fulda	Fulda	Hesse	Q3963	Fulda	seat of Landkreis Fulda and city in Hesse, Germany	Q134626; Q3678424; Q42744322	1101				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_furstenberg	Furstenberg	Swabia	Q37126387	Furstenberg	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_fyn	Fyn	Sjælland	Q26503	Funen	island in Denmark	Q23442					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_gacka	Gacka	Croatia	Q42590512	Gacka	family name	Q101352; Q18972207					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_galati	Galați	Moldavia	Q170996	Galați	county seat in Galați County, Romania	Q640364; Q34843301; Q1549591; Q902814; Q2264924	1541				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_galatia	Galatia	Bucellaria	Q26847	Galatia	area in the highlands of central Asia Minor	Q1620908					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_allenstein	Galindia	Masuria	Q11220730	Galindia	historical region	Q1620908					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_galloway	Galloway	Strathclyde	Q12789571	Galloway	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_gallura	Gallura	Sardinia	Q962651	Gallura	geographic region	Q1620908					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_danzig	Gdańsk	Pomerelia	Q1792	Gdańsk	city and capital of the Pomeranian Voivodeship on the Baltic coast of northern Poland	Q1549591; Q2264924; Q707813; Q925381	997				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_geisenhausen	Geisenhausen	Bavaria	Q52756274	Geisenhausen	quarter of Schweitenkirchen	Q253019; Q1493533					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_gemer	Gemer	Nitra	Q1095701	Gemer	municipality of Slovakia	Q6784672	1198				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_geneva	Geneva	Savoy	Q71	Geneva	capital of the canton of Geneva, Switzerland	Q14770218; Q1187811; Q54935504; Q1549591; Q70208					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_genoa	Genoa	Genoa	Q1449	Genoa	Italian city	Q747074; Q1549591; Q2264924					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_gevaudan	Gévaudan	Toulouse	Q105418134	Gévaudan	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_girona	Girona	Barcelona	Q7038	Girona	municipality and capital city of the Province of Girona, Catalonia, Spain	Q33146843					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_giurgiu	Giurgiu	Muntenia	Q202351	Giurgiu	city in Giurgiu County, Romania	Q640364; Q34843301; Q902814; Q2264924	1403				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
