shard_id	row_index	ck_id	county	ck_duchy	kingdom_867	kingdom_1066	kingdom_1178	empire_867	empire_1066	empire_1178	match_status	screen_status	top_qid	top_label	top_description	historical_title_id	historical_rank	historical_exists	accepted_parentage_count	scale_status	agent_task	notes
county-scale-001	1	c_aachen	Aachen	Jülich	Lotharingia	Lotharingia	Lotharingia	Germania	Holy Roman Empire	Holy Roman Empire	exact_label	defer	Q1017	Aachen	city in North Rhine-Westphalia, Germany				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	2	c_aalborg	Aalborg	Jylland	Denmark	Denmark	Denmark	Scandinavia	Scandinavia	Scandinavia	exact_label	defer	Q25410	Aalborg	city in Denmark				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	3	c_aargau	Aargau	Transjurania	Burgundy	Burgundy	Burgundy	Francia	Francia	Francia	fuzzy_label	defer	Q11972	Canton of Aargau	canton of Switzerland				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	4	c_aarhus	Aarhus	Jylland	Denmark	Denmark	Denmark	Scandinavia	Scandinavia	Scandinavia	exact_label	defer	Q25319	Aarhus	city in Central Denmark Region				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	5	c_abauj	Abauj	Ungvár	Hungary	Hungary	Hungary	Carpathia	Carpathia	Carpathia	fuzzy_label	bounded_candidate	Q1049854	Abaúj county	Historical county in the Kingdom of Hungary	title-q1049854	County	1201..1881	1	accepted_parentage	Use as metrics seed; do not re-import.	Has structured inception and dissolution claims; verify rank/entity semantics before fact promotion.
county-scale-001	6	c_abkhazia	Abkhazia	Abkhazia	Georgia	Georgia	Georgia	Byzantine Empire	Byzantine Empire	Byzantine Empire	fuzzy_label	defer	Q31354462	Republic of Abkhazia	state with limited recognition in the Caucasus				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	7	c_ablastha	Ablastha	Sebasteia	Pontus	Pontus	Rum	Byzantine Empire	Byzantine Empire	Byzantine Empire	no_result								0	source_resolution_needed	Resolve CK3 seed to independent historical source candidate.	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
county-scale-001	8	c_abruzzi	Abruzzi	Spoleto	Romagna	Romagna	Romagna	Italia	Italia	Italia	fuzzy_label	defer	Q1284	Abruzzo	region in Italy				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	9	c_abydos	Abydos	Aegean Islands	Thessalonika	Thessalonika	Thessalonika	Byzantine Empire	Byzantine Empire	Byzantine Empire	exact_label	defer	Q23849061	Abydos	article in Otto's encyclopedia				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	10	c_acampse	Acampse	Tao-Klarjeti	Georgia	Georgia	Georgia	Byzantine Empire	Byzantine Empire	Byzantine Empire	no_result								0	source_resolution_needed	Resolve CK3 seed to independent historical source candidate.	Wikidata search lead only; reviewer must confirm historical identity and dates before source promotion.
county-scale-001	11	c_achaia	Achaia	Achaia	Hellas	Hellas	Hellas	Byzantine Empire	Byzantine Empire	Byzantine Empire	fuzzy_label	defer	Q2495811	Achaea Regional Unit	regional unit in Western Greece, Greece				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	12	c_adrianopolis	Adrianopolis	Philippopolis	Bulgaria	Bulgaria	Bulgaria	Byzantine Empire	Byzantine Empire	Byzantine Empire	fuzzy_label	defer	Q43387	Edirne	central district and city in Edirne Province, Turkey				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	13	c_aeolis	Aeolis	Ephesos	Nikaea	Nikaea	Nikaea	Byzantine Empire	Byzantine Empire	Byzantine Empire	exact_label	defer	Q26213066	Aeolis	genus of molluscs				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	14	c_aetolia	Aetolia	Epirus	Epirus	Epirus	Epirus	Byzantine Empire	Byzantine Empire	Byzantine Empire	exact_label	defer	Q4688763	Aetolia	2001 video game				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	15	c_agenais	Agen	Gascogne	Aquitaine	France	France	Francia	Francia	Francia	exact_label	defer	Q6625	Agen	commune in Lot-et-Garonne, France				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	16	c_ailech	Ailech	Ulster	Ireland	Ireland	Ireland	Britannia	Britannia	Britannia	exact_label	bounded_candidate	Q15104874	Ailech					0	rank_semantics_review	Resolve entity/rank semantics before title or parentage promotion.	Has structured inception and dissolution claims; verify rank/entity semantics before fact promotion.
county-scale-001	17	c_ajaccio	Ajaccio	Corsica	Sardinia	Sardinia	Sardinia	Italia	Italia	Italia	exact_label	defer	Q40104	Ajaccio	French commune and prefecture of Corse-du-Sud and Corsica				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	18	c_akkel	Akkel	Giemajohka	Sápmi	Sápmi	Sápmi	Scandinavia	Scandinavia	Scandinavia	fuzzy_label	defer	Q24934204	Akkyol	lake in Makhachkala, Russia				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	19	c_aland	Aland	Uppland	Sweden	Sweden	Sweden	Scandinavia	Scandinavia	Scandinavia	fuzzy_label	defer	Q5689	Åland	autonomous region of Finland				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	20	c_alarcon	Alarcon	Murcia	Valencia	Valencia	Valencia	Hispania	Hispania	Hispania	exact_label	defer	Q37262384	Alarcon	family name				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	21	c_almader	Alarcos	Cordoba	Andalusia	Andalusia	Andalusia	Hispania	Hispania	Hispania	exact_label	defer	Q2830654	Alarcos	human settlement in Ciudad Real Province, Castile-La Mancha, Spain				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	22	c_albarracin	Albarracin	Aragon	Valencia	Aragon	Aragon	Hispania	Hispania	Hispania	fuzzy_label	defer	Q695488	Albarracín	municipality of Spain				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	23	c_albi	Albi	Languedoc	Aquitaine	France	France	Francia	Francia	Francia	exact_label	defer	Q132801	Albi	French commune in Tarn, Occitania				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
county-scale-001	24	c_albret	Albret	Gascogne	Aquitaine	France	France	Francia	Francia	Francia	exact_label	defer	Q2608761	Albret	royal family of Navarre				0	source_resolution_deferred	Find better independent historical source candidate; current top lead is not importable.	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
