fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	review_priority	notes
fact-q1049854-parent-q171150	title-q1049854	Abaúj county	County	Duchy	title-q171150	Kingdom of Hungary	Kingdom	1201..1881	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q1048340-parent-q926295	title-q1048340	Albanian Kingdom	Kingdom	Crown	title-q926295	Italian Empire	Empire	1939..1939	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q686965-parent-q12548	title-q686965	Anhalt-Bernburg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1252..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q686965-parent-q151624	title-q686965	Anhalt-Bernburg	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1863	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q278874-parent-q12548	title-q278874	Anhalt-Dessau	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1396..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q278874-parent-q151624	title-q278874	Anhalt-Dessau	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1853	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q264970-parent-q12548	title-q264970	Anhalt-Kothen	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1396..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q264970-parent-q151624	title-q264970	Anhalt-Kothen	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1863	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q699964-parent-q12548	title-q699964	Archduchy of Austria	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1358..1803	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q699964-parent-q131964	title-q699964	Archduchy of Austria	Duchy	Kingdom	title-q131964	Austrian Empire	Empire	1804..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q699964-parent-q28513	title-q699964	Archduchy of Austria	Duchy	Kingdom	title-q28513	Austria-Hungary	Empire	1867..1918	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q552033-parent-q12548	title-q552033	Bavaria-Munich	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1392..1505	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q556263-parent-q12548	title-q556263	Brunswick-Luneburg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1235..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q830084-parent-q12548	title-q830084	Brunswick-Wolfenbuttel	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1269..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q568473-parent-q12548	title-q568473	Burgraviate of Nuremberg	County	Duchy	title-q12548	Holy Roman Empire	Empire	1105..1440	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q157109-parent-q7882199	title-q157109	Burgundian Netherlands	Duchy	Kingdom	title-q7882199	Burgundian State	Crown	1384..1482	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q8273263-parent-q203493	title-q8273263	Cetatea-Albă County	County	Duchy	title-q203493	Kingdom of Romania	Kingdom	1925..1944	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q1122980-parent-q170174	title-q1122980	Comtat Venaissin	County	Duchy	title-q170174	Papal States	TheocraticState	1274..1791	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
