ck_id	county	duchy	top_qid	top_label	top_description	p31	inception	dissolution	start_time	end_time	screen_status	notes
c_beloozero	Beloozero	Vepsia	Q104764	Belozersk	town in Russia	Q486972; Q7930989					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_belz	Belz	Cherven Cities	Q62856	Belz	commune in Morbihan, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_benavente	Benavente	León	Q571140	Benavente	municipality in Ribatejo, Portugal	Q13217644					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_benevento	Benevento	Benevento	Q13437	Benevento	Italian comune	Q747074					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_beograd	Beograd	Mačva	Q3711	Belgrade	capital of Serbia	Q515; Q1549591; Q108178728					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_berchtesgaden	Berchtesgaden	Salzburg	Q278221	Berchtesgaden	market municipality of Germany	Q100341898; Q902814; Q1595408; Q116457956					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bereg	Bereg	Transcarpathia	Q11960613	Bereg	fictional character from J.R.R. Tolkien's legendarium	Q1621322					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_berestye	Berestye	Volhynia	Q2499504	Berestye Archeological Museum	archaeological museum in Belarus	Q3329412	1982				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bergh	Berg	Lower Lotharingia	Q12785738	Berg	family name	Q101352; Q1714800; Q17143070					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_berkshire	Berkshire	Hwicce	Q67284726	Berkshire	historic county of England, United Kingdom	Q1138494; Q67376938					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_berlin	Berlin	Nordmark	Q64	Berlin	federated state, capital and largest city of Germany	Q1901835; Q200250; Q1307779; Q15974307; Q42744322; Q133442; Q114401982; Q51929311	1244				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bern	Bern	Transjurania	Q70	Bern	city in Switzerland, capital of the canton of Bern and de facto capital of Switzerland	Q70208; Q14770218; Q537250; Q1187811; Q54935504; Q56061; Q1549591; Q515	1191				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_beroe	Beroë	Philippopolis	Q3828178	Beroe	genus of ctenophores	Q16521					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_berry	Berry	Berry	Q827140	Berry	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_besancon	Besancon	Upper Burgundy	Q37776	Besançon	commune in Doubs, France	Q484170; Q1549591					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_beszterce	Beszterce	Transylvania	Q187205	Bistrița	capital of Bistrița-Năsăud County, Romania	Q640364; Q34843301	1264				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bethen	Bethen	Opolania	Q48084431	Bethén	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_beziers	Béziers	Languedoc	Q174019	Béziers	city in Hérault, Occitanie, France	Q484170; Q515					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bigorre	Bigorre	Armagnac	Q65098197	Bigorre	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bihar	Bihar	Bihar	Q1165	Bihar	state in eastern India	Q12443800	1912				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bithynia	Bithynia	Optimatoi	Q151256	Bithynia	genus of molluscs	Q16521					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_biton	Biton	Vuovdisámieana	Q2904915	Biton	genus of arachnids	Q16521					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_blankenburg	Blankenburg	Anhalt	Q525960	Blankenburg	town in the district of Harz, Saxony-Anhalt, Germany	Q42744322					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_blekinge	Blekinge	Skåne	Q675653	Blekinge	province in Sweden	Q193556	1683				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_blois	Blois	Berry	Q160927	Blois	French commune and city in Loir-et-Cher, Centre-Val de Loire	Q484170; Q515					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bothin	Boðin	Hálogaland	Q23817355	Bodin	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bodrog	Bodrog	Bacs	Q1853207	Bodrog	village in Cluj County, Romania	Q532	1954				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_boeotia	Boeotia	Athens	Q8257871	Boeotia Regional Unit	regional unit in Central Greece, Greece	Q202595; Q1234255					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_boleslav	Boleslav	Bohemia	Q111755551	Boleslav	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bologna	Bologna	Romagna	Q1891	Bologna	city and commune in Emilia-Romagna, Italy	Q747074; Q515; Q1187811; Q1549591					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bordeaux	Bordeaux	Gascogne	Q1479	Bordeaux	city and commune in Gironde, New Aquitaine, France	Q484170; Q1549591	-500				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bornholm	Bornholm	Skåne	Q769680	Bornholm	Danish island	Q23442					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_borsod	Borsod	Ungvár	Q188895	Borsod-Abaúj-Zemplén County	county of Hungary	Q188604	1950				defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bouillon	Bouillon	Luxembourg	Q20519968	Bouillon	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_boulogne	Boulogne	Flanders	Q172455	Boulogne-Billancourt	French commune in Hauts-de-Seine, Île-de-France	Q484170; Q1549591					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_bourbon	Bourbon	Bourbon	Q829308	Bourbon-Lancy	commune in Saône-et-Loire, France	Q484170					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_brabant	Brabant	Brabant	Q37459216	Brabant	family name	Q101352					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
c_braganza	Braganza	Portucale	Q37494042	Braganza	family name	Q101352; Q17143070					defer	No bounded inception/dissolution pair or entity remains ambiguous for DUCHY title materialization.
