ck_id	county	duchy	kingdom_867	kingdom_1066	kingdom_1178	empire_867	empire_1066	empire_1178	baronies_867	baronies_1066	baronies_1178	development	special_buildings	culture_867	culture_1066	culture_1178	religion_867	religion_1066	religion_1178	names	anchor	source_url
c_aachen		Aachen	JÃ¼lich	Lotharingia	Lotharingia	Lotharingia	Germania	Holy Roman Empire	Holy Roman Empire	5	5	8	22	Palace of Aachen	Franconian	Franconian	Franconian	Catholicism	Catholicism	Catholicism	Aachen	https://ck3.paradoxwikis.com/List_of_counties#Aachen
c_aalborg		Aalborg	Jylland	Denmark	Denmark	Denmark	Scandinavia	Scandinavia	Scandinavia	3	2	7	24		Norse	Danish	Danish	ÃsatrÃº	ÃsatrÃº	ÃsatrÃº	Aalborg	https://ck3.paradoxwikis.com/List_of_counties#Aalborg
c_aargau		Aargau	Transjurania	Burgundy	Burgundy	Burgundy	Francia	Francia	Francia	2	5	8	24		Swabian	Swabian	Swabian	Catholicism	Catholicism	Catholicism	Aargau	https://ck3.paradoxwikis.com/List_of_counties#Aargau
c_aarhus		Aarhus	Jylland	Denmark	Denmark	Denmark	Scandinavia	Scandinavia	Scandinavia	3	2	7	24		Norse	Danish	Danish	ÃsatrÃº	Catholicism	Catholicism	Aarhus	https://ck3.paradoxwikis.com/List_of_counties#Aarhus
c_abauj		Abauj	UngvÃ¡r	Hungary	Hungary	Hungary	Carpathia	Carpathia	Carpathia	3	2	8	24		Croatian	Hungarian	Hungarian	Catholicism	Catholicism	Catholicism	Abauj	https://ck3.paradoxwikis.com/List_of_counties#Abauj
c_abkhazia		Abkhazia	Abkhazia	Georgia	Georgia	Georgia	Byzantine Empire	Byzantine Empire	Byzantine Empire	4	5	8	24		Georgian	Georgian	Georgian	Orthodoxy	Orthodoxy	Orthodoxy	Abkhazia	https://ck3.paradoxwikis.com/List_of_counties#Abkhazia
c_ablastha		Ablastha	Sebasteia	Pontus	Pontus	Rum	Byzantine Empire	Byzantine Empire	Byzantine Empire	3	6	9	18		Greek	Greek	Turkmen	Orthodoxy	Orthodoxy	Maturidism	Ablastha	https://ck3.paradoxwikis.com/List_of_counties#Ablastha
c_abruzzi		Abruzzi	Spoleto	Romagna	Romagna	Romagna	Italia	Italia	Italia	2	7	10	14		Lombard	Sicilian	Sicilian	Catholicism	Catholicism	Catholicism	Abruzzi	https://ck3.paradoxwikis.com/List_of_counties#Abruzzi
c_abydos		Abydos	Aegean Islands	Thessalonika	Thessalonika	Thessalonika	Byzantine Empire	Byzantine Empire	Byzantine Empire	5	8	12	14		Greek	Greek	Greek	Orthodoxy	Orthodoxy	Orthodoxy	Abydos	https://ck3.paradoxwikis.com/List_of_counties#Abydos
c_acampse		Acampse	Tao-Klarjeti	Georgia	Georgia	Georgia	Byzantine Empire	Byzantine Empire	Byzantine Empire	2	5	8	24		Georgian	Georgian	Georgian	Orthodoxy	Orthodoxy	Orthodoxy	Acampse	https://ck3.paradoxwikis.com/List_of_counties#Acampse
c_achaia		Achaia	Achaia	Hellas	Hellas	Hellas	Byzantine Empire	Byzantine Empire	Byzantine Empire	4	6	10	24	Patras Castle	Greek	Greek	Greek	Orthodoxy	Orthodoxy	Orthodoxy	Achaia	https://ck3.paradoxwikis.com/List_of_counties#Achaia
c_adrianopolis		Adrianopolis	Philippopolis	Bulgaria	Bulgaria	Bulgaria	Byzantine Empire	Byzantine Empire	Byzantine Empire	3	6	9	24		Greek	Greek	Greek	Orthodoxy	Orthodoxy	Orthodoxy	Adrianopolis	https://ck3.paradoxwikis.com/List_of_counties#Adrianopolis
c_aeolis		Aeolis	Ephesos	Nikaea	Nikaea	Nikaea	Byzantine Empire	Byzantine Empire	Byzantine Empire	3	7	11	16	Phocaea Mining Settlement	Greek	Greek	Greek	Orthodoxy	Orthodoxy	Orthodoxy	Aeolis	https://ck3.paradoxwikis.com/List_of_counties#Aeolis
c_aetolia		Aetolia	Epirus	Epirus	Epirus	Epirus	Byzantine Empire	Byzantine Empire	Byzantine Empire	3	6	10	24		Greek	Greek	Greek	Orthodoxy	Orthodoxy	Orthodoxy	Aetolia	https://ck3.paradoxwikis.com/List_of_counties#Aetolia
c_agen		Agen	Gascogne	Aquitaine	France	France	Francia	Francia	Francia	2	5	8	24		Occitan	Occitan	Occitan	Catholicism	Catholicism	Catharism	Agen	https://ck3.paradoxwikis.com/List_of_counties#Agen
c_ailech		Ailech	Ulster	Ireland	Ireland	Ireland	Britannia	Britannia	Britannia	4	2	6	14		Irish	Irish	Irish	Insularism	Insularism	Insularism	Ailech	https://ck3.paradoxwikis.com/List_of_counties#Ailech
c_ajaccio		Ajaccio	Corsica	Sardinia	Sardinia	Sardinia	Italia	Italia	Italia	2	4	7	20		Sardinian	Sardinian	Sardinian	Catholicism	Catholicism	Catholicism	Ajaccio	https://ck3.paradoxwikis.com/List_of_counties#Ajaccio
c_akkel		Akkel	Giemajohka	SÃ¡pmi	SÃ¡pmi	SÃ¡pmi	Scandinavia	Scandinavia	Scandinavia	3	0	0	0	Grand Temple	Sami	Sami	Sami	Ukonusko	Ukonusko	Ukonusko	Akkel	https://ck3.paradoxwikis.com/List_of_counties#Akkel
c_aland		Aland	Uppland	Sweden	Sweden	Sweden	Scandinavia	Scandinavia	Scandinavia	2	2	4	24		Norse	Swedish	Swedish	ÃsatrÃº	ÃsatrÃº	Catholicism	Aland	https://ck3.paradoxwikis.com/List_of_counties#Aland
c_alarcon		Alarcon	Murcia	Valencia	Valencia	Valencia	Hispania	Hispania	Hispania	4	8	11	24		Andalusian	Andalusian	Andalusian	Muwalladism	Muwalladism	Muwalladism	Alarcon	https://ck3.paradoxwikis.com/List_of_counties#Alarcon
c_alarcos		Alarcos	Cordoba	Andalusia	Andalusia	Andalusia	Hispania	Hispania	Hispania	2	10	13	14		Andalusian	Andalusian	Andalusian	Muwalladism	Muwalladism	Muwalladism	Alarcos	https://ck3.paradoxwikis.com/List_of_counties#Alarcos
c_albarracin		Albarracin	Aragon	Valencia	Aragon	Aragon	Hispania	Hispania	Hispania	3	8	9	24		Andalusian	Andalusian	Andalusian	Mozarabism	Muwalladism	Muwalladism	Albarracin	https://ck3.paradoxwikis.com/List_of_counties#Albarracin
c_albi		Albi	Languedoc	Aquitaine	France	France	Francia	Francia	Francia	2	5	8	24	Grand Cathedral	Occitan	Occitan	Occitan	Catholicism	Catholicism	Catharism	Albi	https://ck3.paradoxwikis.com/List_of_counties#Albi
c_albret		Albret	Gascogne	Aquitaine	France	France	Francia	Francia	Francia	4	5	8	24		Occitan	Occitan	Occitan	Catholicism	Catholicism	Catholicism	Albret	https://ck3.paradoxwikis.com/List_of_counties#Albret
c_alcacer_do_sal		Alcacer do Sal	Beja	Badajoz	Badajoz	Portugal	Hispania	Hispania	Hispania	4	8	11	14		Andalusian	Andalusian	Andalusian	Mozarabism	Muwalladism	Muwalladism	Alcacer_do_Sal	https://ck3.paradoxwikis.com/List_of_counties#Alcacer_do_Sal
