title_id	name	rank	exists	parentage_count	review_priority	notes
title-q2980623	Kingdom of Bosnia	Kingdom	1377..1463	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q2991474	County of Wurttemberg	County	1083..1495	0	high_parentage_review	Find reviewed duchy, kingdom, or empire parentage source.
title-q3181749	Arab Caliphate	Empire	632..1517	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q31929	Carolingian Empire	Empire	800..887	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q319586	Prince-Bishopric of Basel	Duchy	1032..1803	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q321371	Bosporan Kingdom	Kingdom	-437..370	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q325461	Kingdom of Thessalonica	Kingdom	1204..1224	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q328001	Prince-Bishopric of Toul	Duchy	1048..1801	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q328818	Kingdom of Kent	Kingdom	450..871	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q3324486	Prince-Bishopric of Montenegro	Duchy	1516..1852	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q334714	Duchy of Athens	Duchy	1205..1458	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q34266	Russian Empire	Empire	1721..1917	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q3446210	Kingdom of Pamplona	Kingdom	824..1162	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q35	Denmark	Kingdom	800..	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q3624335	Duchy of Austria	Duchy	1156..1453	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q3755547	Kingdom of Italy	Kingdom	476..493	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q377350	Iberian Union	Empire	1580..1640	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q386496	Kingdom of Montenegro	Kingdom	1910..1918	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q389688	Achaemenid Empire	Empire	-550..-330	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q4208290	Kazikumukh Khanate	Empire	1642..1860	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q43287	German Empire	Empire	1871..1918	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q435583	Old Swiss Confederacy	Empire	1291..1798	0	root_or_successor_review	May be a root title; review only if successor, union, or super-entity claim exists.
title-q436994	Kingdom of Dublin	Kingdom	839..1171	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
title-q47261	Duchy of Bavaria	Duchy	907..1805	0	high_parentage_review	Find reviewed kingdom or empire parentage source.
title-q48742118	Fascist Italy	Kingdom	1922..1943	0	medium_parentage_review	Find reviewed empire, union, confederation, or successor-context source.
