fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	review_priority	notes
fact-q14551680-parent-q12548	title-q14551680	Principality of Lippe	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1789..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q14551680-parent-q151624	title-q14551680	Principality of Lippe	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q684030-parent-q12560	title-q684030	Principality of Serbia	Duchy	Kingdom	title-q12560	Ottoman Empire	Empire	1815..1867	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q158151-parent-q12548	title-q158151	Saxe-Altenburg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1602..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q158151-parent-q151624	title-q158151	Saxe-Altenburg	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q3462133-parent-q151624	title-q3462133	Saxe-Coburg and Gotha	Duchy	Kingdom	title-q151624	German Confederation	Empire	1826..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q700663-parent-q12548	title-q700663	Saxe-Coburg-Saalfeld	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1699..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q700663-parent-q151624	title-q700663	Saxe-Coburg-Saalfeld	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1825	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q675085-parent-q12548	title-q675085	Saxe-Gotha-Altenburg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1680..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q675085-parent-q151624	title-q675085	Saxe-Gotha-Altenburg	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1826	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q281005-parent-q12548	title-q281005	Saxe-Hildburghausen	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1680..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q281005-parent-q151624	title-q281005	Saxe-Hildburghausen	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1826	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q313175-parent-q12548	title-q313175	Saxe-Lauenburg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1296..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q313175-parent-q151624	title-q313175	Saxe-Lauenburg	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q155570-parent-q150981	title-q155570	Saxe-Weimar-Eisenach	Duchy	Kingdom	title-q150981	North German Confederation	Empire	1867..1870	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q155570-parent-q151624	title-q155570	Saxe-Weimar-Eisenach	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q310650-parent-q12548	title-q310650	Schaumburg-Lippe	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1643..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q310650-parent-q151624	title-q310650	Schaumburg-Lippe	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q695316-parent-q151624	title-q695316	Schwarzburg-Rudolstadt	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q630163-parent-q12548	title-q630163	Schwarzburg-Sondershausen	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1599..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q630163-parent-q151624	title-q630163	Schwarzburg-Sondershausen	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q958291-parent-q12560	title-q958291	United Principalities of Moldavia and Wallachia	Duchy	Kingdom	title-q12560	Ottoman Empire	Empire	1859..1877	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
