fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	review_priority	notes
fact-q156199-parent-q12548	title-q156199	Electorate of Saxony	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1356..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q2172530-parent-q12548	title-q2172530	Electorate of Wurttemberg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1803..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q146246-parent-q31929	title-q146246	Francia	Kingdom	Crown	title-q31929	Carolingian Empire	Empire	800..843	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q692946-parent-q131964	title-q692946	Gorizia and Gradisca	County	Duchy	title-q131964	Austrian Empire	Empire	1804..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q692946-parent-q28513	title-q692946	Gorizia and Gradisca	County	Duchy	title-q28513	Austria-Hungary	Empire	1867..1918	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q186320-parent-q151624	title-q186320	Grand Duchy of Baden	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q186320-parent-q43287	title-q186320	Grand Duchy of Baden	Duchy	Kingdom	title-q43287	German Empire	Empire	1871..1918	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q249428-parent-q154741	title-q249428	Grand Duchy of Berg	Duchy	Kingdom	title-q154741	Confederation of the Rhine	Crown	1806..1813	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q62633-parent-q34266	title-q62633	Grand Duchy of Finland	Duchy	Kingdom	title-q34266	Russian Empire	Empire	1809..1917	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q704312-parent-q154741	title-q704312	Grand Duchy of Frankfurt	Duchy	Kingdom	title-q154741	Confederation of the Rhine	Crown	1810..1813	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q20135-parent-q151624	title-q20135	Grand Duchy of Hesse	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q20135-parent-q43287	title-q20135	Grand Duchy of Hesse	Duchy	Kingdom	title-q43287	German Empire	Empire	1871..1918	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q49683-parent-q172107	title-q49683	Grand Duchy of Lithuania	Duchy	Kingdom	title-q172107	Polish-Lithuanian Commonwealth	Crown	1569..1795	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q158445-parent-q150981	title-q158445	Grand Duchy of Mecklenburg-Schwerin	Duchy	Kingdom	title-q150981	North German Confederation	Empire	1867..1870	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q158445-parent-q151624	title-q158445	Grand Duchy of Mecklenburg-Schwerin	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q158445-parent-q43287	title-q158445	Grand Duchy of Mecklenburg-Schwerin	Duchy	Kingdom	title-q43287	German Empire	Empire	1871..1918	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q161215-parent-q150981	title-q161215	Grand Duchy of Mecklenburg-Strelitz	Duchy	Kingdom	title-q150981	North German Confederation	Empire	1867..1870	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q161215-parent-q151624	title-q161215	Grand Duchy of Mecklenburg-Strelitz	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q693669-parent-q150981	title-q693669	Grand Duchy of Oldenburg	Duchy	Kingdom	title-q150981	North German Confederation	Empire	1867..1870	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q693669-parent-q151624	title-q693669	Grand Duchy of Oldenburg	Duchy	Kingdom	title-q151624	German Confederation	Empire	1816..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q693669-parent-q43287	title-q693669	Grand Duchy of Oldenburg	Duchy	Kingdom	title-q43287	German Empire	Empire	1871..1918	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q154849-parent-q12548	title-q154849	Grand Duchy of Tuscany	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1575..1801	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q698089-parent-q154741	title-q698089	Grand Duchy of Wurzburg	Duchy	Kingdom	title-q154741	Confederation of the Rhine	Crown	1806..1813	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q170770-parent-q141472	title-q170770	Grand Principality of Moscow	Duchy	Kingdom	title-q141472	Golden Horde	Empire	1263..1478	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q83546-parent-q141472	title-q83546	Grand Principality of Vladimir	Duchy	Kingdom	title-q141472	Golden Horde	Empire	1259..1389	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
