fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	review_priority	notes
fact-q762943-parent-q12548	title-q762943	County of Holland	County	Duchy	title-q12548	Holy Roman Empire	Empire	962..1795	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q921473-parent-q70972	title-q921473	County of La Marche	County	Duchy	title-q70972	Kingdom of France	Kingdom	1527..1527	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q5177890-parent-q12548	title-q5177890	County of Luxembourg	County	Duchy	title-q12548	Holy Roman Empire	Empire	963..1354	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q700198-parent-q27306	title-q700198	County of Mark	County	Duchy	title-q27306	Kingdom of Prussia	Kingdom	1701..1806	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q589251-parent-q12548	title-q589251	County of Montbeliard	County	Duchy	title-q12548	Holy Roman Empire	Empire	1042..1793	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q599613-parent-q12548	title-q599613	County of Namur	County	Duchy	title-q12548	Holy Roman Empire	Empire	981..1795	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q12817455-parent-q12548	title-q12817455	County of Nassau	County	Duchy	title-q12548	Holy Roman Empire	Empire	1160..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q706553-parent-q2577303	title-q706553	County of Nice	County	Duchy	title-q2577303	Kingdom of Sardinia	Kingdom	1814..1818	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q1139807-parent-q231392	title-q1139807	County of Portugal	County	Duchy	title-q231392	Kingdom of Asturias	Kingdom	868..909	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q1139807-parent-q303421	title-q1139807	County of Portugal	County	Duchy	title-q303421	Kingdom of Galicia	Kingdom	910..1139	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q2991382-parent-q70972	title-q2991382	County of Provence	County	Duchy	title-q70972	Kingdom of France	Kingdom	987..1487	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q573290-parent-q12548	title-q573290	County of Ravensberg	County	Duchy	title-q12548	Holy Roman Empire	Empire	1140..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q1297894-parent-q199442	title-q1297894	County of Ribagorza	County	Duchy	title-q199442	Kingdom of Aragon	Kingdom	1035..1598	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q1232887-parent-q12548	title-q1232887	County of Savoy	County	Duchy	title-q12548	Holy Roman Empire	Empire	1003..1416	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q1917014-parent-q188586	title-q1917014	County of Sicily	County	Duchy	title-q188586	Kingdom of Sicily	Kingdom	1130..1130	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q2991474-parent-q12548	title-q2991474	County of Wurttemberg	County	Duchy	title-q12548	Holy Roman Empire	Empire	1083..1495	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q5298169-parent-q203493	title-q5298169	Dorohoi County	County	Duchy	title-q203493	Kingdom of Romania	Kingdom	1881..1947	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q686312-parent-q12544	title-q686312	Duchy of Amalfi	Duchy	Kingdom	title-q12544	Byzantine Empire	Empire	839..958	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q16550783-parent-q150981	title-q16550783	Duchy of Anhalt	Duchy	Kingdom	title-q150981	North German Confederation	Empire	1867..1870	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q16550783-parent-q151624	title-q16550783	Duchy of Anhalt	Duchy	Kingdom	title-q151624	German Confederation	Empire	1863..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q16550783-parent-q43287	title-q16550783	Duchy of Anhalt	Duchy	Kingdom	title-q43287	German Empire	Empire	1871..1918	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q3624335-parent-q12548	title-q3624335	Duchy of Austria	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1156..1453	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q47261-parent-q12548	title-q47261	Duchy of Bavaria	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	962..1805	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q151095-parent-q12548	title-q151095	Duchy of Berg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1380..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q2162698-parent-q12548	title-q2162698	Duchy of Bohemia	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1002..1198	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
