fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	review_priority	notes
fact-q159856-parent-q12548	title-q159856	Duchy of Brabant	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1183..1795	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q694594-parent-q12548	title-q694594	Duchy of Bremen and Verden	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1648..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q326029-parent-q150981	title-q326029	Duchy of Brunswick	Duchy	Kingdom	title-q150981	North German Confederation	Empire	1867..1870	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q326029-parent-q151624	title-q326029	Duchy of Brunswick	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q326029-parent-q43287	title-q326029	Duchy of Brunswick	Duchy	Kingdom	title-q43287	German Empire	Empire	1871..1918	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q2360973-parent-q12548	title-q2360973	Duchy of Carniola	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1364..1803	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q2360973-parent-q131964	title-q2360973	Duchy of Carniola	Duchy	Kingdom	title-q131964	Austrian Empire	Empire	1804..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q2360973-parent-q28513	title-q2360973	Duchy of Carniola	Duchy	Kingdom	title-q28513	Austria-Hungary	Empire	1867..1918	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q641138-parent-q12548	title-q641138	Duchy of Cleves	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1092..1795	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q156038-parent-q172107	title-q156038	Duchy of Courland and Semigallia	Duchy	Kingdom	title-q172107	Polish-Lithuanian Commonwealth	Crown	1569..1795	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q1991540-parent-q43287	title-q1991540	Duchy of Courland and Semigallia	Duchy	Kingdom	title-q43287	German Empire	Empire	1918..1918	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q693570-parent-q170174	title-q693570	Duchy of Ferrara	Duchy	Kingdom	title-q170174	Papal States	TheocraticState	1597..1597	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q2252973-parent-q12548	title-q2252973	Duchy of Florence	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1532..1569	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q152420-parent-q12548	title-q152420	Duchy of Guelders	County	Duchy	title-q12548	Holy Roman Empire	Empire	1096..1795	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q704288-parent-q12548	title-q704288	Duchy of Holstein	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1474..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q704288-parent-q151624	title-q704288	Duchy of Holstein	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q836937-parent-q12548	title-q836937	Duchy of Julich	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1003..1794	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q1352878-parent-q172107	title-q1352878	Duchy of Livonia	Duchy	Kingdom	title-q172107	Polish-Lithuanian Commonwealth	Crown	1569..1621	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q155019-parent-q12548	title-q155019	Duchy of Lorraine	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	962..1766	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q2719360-parent-q12548	title-q2719360	Duchy of Luxembourg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1353..1795	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q766501-parent-q12548	title-q766501	Duchy of Mantua	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1530..1797	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q933592-parent-q12548	title-q933592	Duchy of Massa and Carrara	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1473..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q11024667-parent-q12548	title-q11024667	Duchy of Mecklenburg-Schwerin	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1701..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q153529-parent-q12548	title-q153529	Duchy of Milan	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1395..1797	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q1615455-parent-q12548	title-q1615455	Duchy of Mirandola	County	Duchy	title-q12548	Holy Roman Empire	Empire	1310..1710	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
