fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	review_priority	notes
fact-q252580-parent-q12548	title-q252580	Duchy of Modena and Reggio	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1452..1796	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q836680-parent-q151624	title-q836680	Duchy of Nassau	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q165040-parent-q12548	title-q165040	Duchy of Parma and Piacenza	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1748..1801	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q696640-parent-q12548	title-q696640	Duchy of Pomerania	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1121..1637	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q661340-parent-q28513	title-q661340	Duchy of Salzburg	Duchy	Kingdom	title-q28513	Austria-Hungary	Empire	1867..1918	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q426025-parent-q12548	title-q426025	Duchy of Savoy	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1416..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q157710-parent-q12548	title-q157710	Duchy of Saxe-Meiningen	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1675..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q157710-parent-q151624	title-q157710	Duchy of Saxe-Meiningen	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q157710-parent-q43287	title-q157710	Duchy of Saxe-Meiningen	Duchy	Kingdom	title-q43287	German Empire	Empire	1871..1918	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q164092-parent-q12548	title-q164092	Duchy of Saxony	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	962..1296	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q693980-parent-q12548	title-q693980	Duchy of Swabia	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	962..1313	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q649202-parent-q170174	title-q649202	Duchy of Urbino	Duchy	Kingdom	title-q170174	Papal States	TheocraticState	1443..1631	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q152115-parent-q71084	title-q152115	Duchy of Warsaw	Duchy	Kingdom	title-q71084	First French Empire	Empire	1807..1815	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q657241-parent-q12548	title-q657241	Duchy of Westphalia	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1180..1803	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q2227570-parent-q12548	title-q2227570	Duchy of Wurttemberg	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1495..1803	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q1252942-parent-q12544	title-q1252942	Duklja	Duchy	Kingdom	title-q12544	Byzantine Empire	Empire	854..1252	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q153080-parent-q31929	title-q153080	East Francia	Kingdom	Crown	title-q31929	Carolingian Empire	Empire	843..887	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q625380-parent-q12560	title-q625380	Eastern Hungarian Kingdom	Kingdom	Crown	title-q12560	Ottoman Empire	Empire	1529..1570	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q22880-parent-q12548	title-q22880	Electoral Palatinate	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1085..1803	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q637238-parent-q12548	title-q637238	Electorate of Baden	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1803..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q256961-parent-q12548	title-q256961	Electorate of Bavaria	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1623..1805	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q7904317-parent-q12548	title-q7904317	Electorate of Cologne	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	962..1803	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q706018-parent-q12548	title-q706018	Electorate of Hanover	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1692..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q529605-parent-q151624	title-q529605	Electorate of Hesse	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1866	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q284667-parent-q12548	title-q284667	Electorate of Mainz	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	962..1803	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
