fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	review_priority	notes
fact-q838931-parent-q12548	title-q838931	Kingdom of Italy	Kingdom	Crown	title-q12548	Holy Roman Empire	Empire	962..1806	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q2346056-parent-q186096	title-q2346056	Kingdom of Livonia	Kingdom	Crown	title-q186096	Tsardom of Russia	Empire	1570..1578	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q209857-parent-q131964	title-q209857	Kingdom of Lombardy-Venetia	Kingdom	Crown	title-q131964	Austrian Empire	Empire	1815..1866	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q696908-parent-q43287	title-q696908	Kingdom of Poland	Kingdom	Crown	title-q43287	German Empire	Empire	1916..1918	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q45670-parent-q377350	title-q45670	Kingdom of Portugal	Kingdom	Crown	title-q377350	Iberian Union	Empire	1580..1640	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q27306-parent-q150981	title-q27306	Kingdom of Prussia	Kingdom	Crown	title-q150981	North German Confederation	Empire	1867..1870	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q27306-parent-q151624	title-q27306	Kingdom of Prussia	Kingdom	Crown	title-q151624	German Confederation	Empire	1815..1866	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q27306-parent-q43287	title-q27306	Kingdom of Prussia	Kingdom	Crown	title-q43287	German Empire	Empire	1871..1918	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q153015-parent-q150981	title-q153015	Kingdom of Saxony	Kingdom	Crown	title-q150981	North German Confederation	Empire	1867..1870	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q153015-parent-q151624	title-q153015	Kingdom of Saxony	Kingdom	Crown	title-q151624	German Confederation	Empire	1815..1866	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q153015-parent-q43287	title-q153015	Kingdom of Saxony	Kingdom	Crown	title-q43287	German Empire	Empire	1871..1918	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q2415003-parent-q1406298	title-q2415003	Kingdom of Serbia	Kingdom	Crown	title-q1406298	Serbian Empire	Empire	1346..1346	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q325461-parent-q178897	title-q325461	Kingdom of Thessalonica	Kingdom	Crown	title-q178897	Latin Empire	Empire	1204..1224	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q159631-parent-q151624	title-q159631	Kingdom of Wurttemberg	Kingdom	Crown	title-q151624	German Confederation	Empire	1815..1866	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q159631-parent-q43287	title-q159631	Kingdom of Wurttemberg	Kingdom	Crown	title-q43287	German Empire	Empire	1871..1918	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
