fact_id	child_id	child_name	child_rank	expected_parent_rank	current_parent_id	current_parent_name	current_parent_rank	span	review_priority	notes
fact-q673865-parent-q12548	title-q673865	Hohenzollern-Hechingen	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1576..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q673865-parent-q151624	title-q673865	Hohenzollern-Hechingen	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1850	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q157013-parent-q12548	title-q157013	Hohenzollern-Sigmaringen	Duchy	Kingdom	title-q12548	Holy Roman Empire	Empire	1576..1806	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q157013-parent-q151624	title-q157013	Hohenzollern-Sigmaringen	Duchy	Kingdom	title-q151624	German Confederation	Empire	1815..1850	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q50625-parent-q20	title-q50625	Hordaland	County	Duchy	title-q20	Kingdom of Norway	Kingdom	1919..2019	medium_intermediate_parent_review	Review for a missing immediate parent layer, or document why this direct parentage should remain rank-skipped.
fact-q699923-parent-q71084	title-q699923	Illyrian Provinces	Province	Kingdom	title-q71084	First French Empire	Empire	1809..1815	high_intermediate_parent_review	Find reviewed immediate parent layer for this span before treating the hierarchy as a complete tree.
fact-q1448131-parent-q926295	title-q1448131	Italian protectorate of Albania	Kingdom	Crown	title-q926295	Italian Empire	Empire	1939..1943	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q154195-parent-q151624	title-q154195	Kingdom of Bavaria	Kingdom	Crown	title-q151624	German Confederation	Empire	1815..1866	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q154195-parent-q43287	title-q154195	Kingdom of Bavaria	Kingdom	Crown	title-q43287	German Empire	Empire	1871..1918	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
fact-q42585-parent-q12548	title-q42585	Kingdom of Bohemia	Kingdom	Crown	title-q12548	Holy Roman Empire	Empire	1198..1803	low_intermediate_parent_review	Review whether this rank skip is acceptable for query behavior or needs an intermediate parent packet.
